analysis,,no_bl_info_for_training,no_bl_info_for_training,no_active_patients_at_bl_drop,no_bl_info_for_training_random_drop,no_bl_info_for_training_random_drop
,,all_summary,subset_dysk_summary,all_summary,all_summary,subset_dysk_summary
model,Metric,,,,,
extratreesclassifier,AUC,0.80 ± 0.06,0.72 ± 0.08,0.68 ± 0.09,0.81 ± 0.06,0.72 ± 0.08
extratreesclassifier,F1,0.70 ± 0.06,0.49 ± 0.12,0.04 ± 0.11,0.70 ± 0.06,0.49 ± 0.09
extratreesclassifier,MCC,0.45 ± 0.10,0.28 ± 0.16,-0.01 ± 0.11,0.48 ± 0.11,0.31 ± 0.14
extratreesclassifier,Sensitivity,0.69 ± 0.09,0.52 ± 0.15,0.03 ± 0.08,0.70 ± 0.09,0.53 ± 0.16
extratreesclassifier,Specificity,0.76 ± 0.07,0.76 ± 0.07,0.97 ± 0.06,0.77 ± 0.10,0.77 ± 0.10
logisticregression,AUC,0.82 ± 0.05,0.72 ± 0.09,0.70 ± 0.09,0.83 ± 0.06,0.74 ± 0.09
logisticregression,F1,0.71 ± 0.05,0.49 ± 0.12,0.24 ± 0.13,0.70 ± 0.06,0.48 ± 0.10
logisticregression,MCC,0.51 ± 0.08,0.30 ± 0.16,0.16 ± 0.17,0.50 ± 0.10,0.30 ± 0.14
logisticregression,Sensitivity,0.67 ± 0.08,0.47 ± 0.14,0.16 ± 0.09,0.66 ± 0.08,0.46 ± 0.12
logisticregression,Specificity,0.82 ± 0.06,0.82 ± 0.06,0.94 ± 0.06,0.82 ± 0.08,0.82 ± 0.08
randomforestclassifier,AUC,0.81 ± 0.06,0.72 ± 0.09,0.72 ± 0.09,0.83 ± 0.07,0.74 ± 0.10
randomforestclassifier,F1,0.74 ± 0.06,0.52 ± 0.13,0.18 ± 0.12,0.74 ± 0.06,0.53 ± 0.11
randomforestclassifier,MCC,0.53 ± 0.11,0.32 ± 0.18,0.10 ± 0.15,0.55 ± 0.12,0.35 ± 0.15
randomforestclassifier,Sensitivity,0.73 ± 0.08,0.53 ± 0.15,0.12 ± 0.09,0.74 ± 0.08,0.55 ± 0.15
randomforestclassifier,Specificity,0.79 ± 0.07,0.79 ± 0.07,0.93 ± 0.06,0.80 ± 0.10,0.80 ± 0.10
stacking,AUC,0.81 ± 0.05,0.72 ± 0.09,0.70 ± 0.10,0.83 ± 0.06,0.74 ± 0.10
stacking,F1,0.72 ± 0.06,0.50 ± 0.11,0.09 ± 0.12,0.73 ± 0.06,0.51 ± 0.11
stacking,MCC,0.50 ± 0.11,0.29 ± 0.16,0.03 ± 0.16,0.53 ± 0.11,0.34 ± 0.16
stacking,Sensitivity,0.71 ± 0.07,0.52 ± 0.12,0.06 ± 0.08,0.72 ± 0.07,0.53 ± 0.15
stacking,Specificity,0.78 ± 0.08,0.78 ± 0.08,0.95 ± 0.06,0.80 ± 0.09,0.80 ± 0.09
svc,AUC,0.81 ± 0.05,0.72 ± 0.08,0.67 ± 0.08,0.83 ± 0.06,0.73 ± 0.09
svc,F1,0.70 ± 0.06,0.48 ± 0.10,0.14 ± 0.14,0.72 ± 0.09,0.50 ± 0.15
svc,MCC,0.48 ± 0.11,0.29 ± 0.14,0.10 ± 0.17,0.53 ± 0.14,0.34 ± 0.20
svc,Sensitivity,0.67 ± 0.08,0.47 ± 0.11,0.09 ± 0.09,0.68 ± 0.12,0.49 ± 0.18
svc,Specificity,0.81 ± 0.07,0.81 ± 0.07,0.96 ± 0.06,0.83 ± 0.08,0.83 ± 0.08
voting,AUC,0.82 ± 0.05,0.73 ± 0.09,0.70 ± 0.07,0.83 ± 0.06,0.74 ± 0.09
voting,F1,0.73 ± 0.07,0.52 ± 0.13,0.17 ± 0.14,0.74 ± 0.05,0.51 ± 0.12
voting,MCC,0.51 ± 0.12,0.32 ± 0.18,0.08 ± 0.15,0.53 ± 0.10,0.33 ± 0.15
voting,Sensitivity,0.72 ± 0.09,0.54 ± 0.15,0.12 ± 0.10,0.73 ± 0.07,0.53 ± 0.18
voting,Specificity,0.79 ± 0.08,0.79 ± 0.08,0.93 ± 0.05,0.80 ± 0.08,0.80 ± 0.08
xgbclassifier,AUC,0.79 ± 0.05,0.70 ± 0.08,0.69 ± 0.08,0.80 ± 0.06,0.72 ± 0.10
xgbclassifier,F1,0.70 ± 0.06,0.49 ± 0.12,0.06 ± 0.10,0.71 ± 0.06,0.49 ± 0.14
xgbclassifier,MCC,0.47 ± 0.10,0.28 ± 0.17,-0.01 ± 0.12,0.49 ± 0.12,0.29 ± 0.18
xgbclassifier,Sensitivity,0.69 ± 0.08,0.51 ± 0.16,0.04 ± 0.08,0.70 ± 0.09,0.52 ± 0.18
xgbclassifier,Specificity,0.77 ± 0.08,0.77 ± 0.08,0.95 ± 0.05,0.78 ± 0.10,0.78 ± 0.10
