idx,real y,probs_raw,probs_cal
8,1.0,0.64,0.56
83,1.0,0.65,0.59
195,0.0,0.17,0.13
41,0.0,0.55,0.41
48,0.0,0.62,0.51
208,0.0,0.5,0.39
169,0.0,0.15,0.12
165,0.0,0.22,0.16
201,0.0,0.12,0.12
9,0.0,0.71,0.58
128,0.0,0.21,0.14
67,0.0,0.45,0.32
139,1.0,0.4,0.27
166,0.0,0.37,0.26
147,0.0,0.15,0.12
172,0.0,0.15,0.12
54,0.0,0.68,0.55
102,0.0,0.18,0.13
194,0.0,0.23,0.16
45,0.0,0.76,0.64
193,0.0,0.19,0.15
36,0.0,0.79,0.68
40,1.0,0.34,0.27
4,1.0,0.44,0.35
140,0.0,0.36,0.24
117,0.0,0.4,0.26
185,0.0,0.29,0.21
118,0.0,0.25,0.19
159,1.0,0.43,0.32
176,0.0,0.11,0.12
2,0.0,0.8,0.7
74,0.0,0.56,0.39
46,0.0,0.56,0.47
151,1.0,0.43,0.29
115,1.0,0.26,0.17
107,0.0,0.75,0.63
152,0.0,0.44,0.31
88,1.0,0.45,0.35
99,1.0,0.61,0.52
148,0.0,0.15,0.12
76,1.0,0.78,0.66
93,1.0,0.38,0.28
62,1.0,0.39,0.3
120,0.0,0.21,0.15
33,0.0,0.63,0.45
179,0.0,0.26,0.16
94,0.0,0.28,0.18
144,0.0,0.62,0.42
87,1.0,0.67,0.48
104,0.0,0.6,0.43
211,0.0,0.3,0.19
19,1.0,0.68,0.5
59,1.0,0.49,0.33
60,0.0,0.39,0.23
77,0.0,0.28,0.18
108,1.0,0.68,0.5
207,0.0,0.28,0.18
9,0.0,0.65,0.46
141,1.0,0.33,0.21
45,0.0,0.68,0.49
168,0.0,0.36,0.21
191,0.0,0.17,0.13
135,0.0,0.53,0.33
32,1.0,0.43,0.29
165,0.0,0.23,0.15
29,1.0,0.61,0.43
22,1.0,0.68,0.49
49,1.0,0.66,0.49
102,0.0,0.28,0.18
6,1.0,0.61,0.43
147,0.0,0.25,0.17
151,1.0,0.56,0.36
66,0.0,0.31,0.21
13,0.0,0.46,0.32
62,1.0,0.41,0.27
118,0.0,0.38,0.24
67,0.0,0.44,0.29
109,0.0,0.48,0.32
39,0.0,0.58,0.41
131,0.0,0.29,0.18
204,0.0,0.38,0.23
82,1.0,0.47,0.29
54,0.0,0.64,0.46
37,0.0,0.24,0.17
192,0.0,0.14,0.12
2,0.0,0.73,0.55
91,0.0,0.42,0.26
105,0.0,0.57,0.43
81,0.0,0.44,0.29
95,0.0,0.27,0.15
132,0.0,0.44,0.27
24,0.0,0.42,0.26
53,1.0,0.23,0.13
18,0.0,0.37,0.22
172,0.0,0.2,0.11
37,0.0,0.25,0.13
122,0.0,0.25,0.13
181,0.0,0.25,0.13
156,1.0,0.57,0.43
136,1.0,0.27,0.13
138,1.0,0.61,0.47
126,1.0,0.35,0.2
41,0.0,0.49,0.34
40,1.0,0.52,0.37
23,0.0,0.44,0.3
13,0.0,0.47,0.32
1,0.0,0.72,0.61
175,0.0,0.26,0.15
45,0.0,0.66,0.55
162,0.0,0.24,0.13
115,1.0,0.26,0.15
123,1.0,0.67,0.55
25,0.0,0.67,0.56
87,1.0,0.68,0.57
196,0.0,0.17,0.1
103,1.0,0.33,0.18
107,0.0,0.73,0.6
114,0.0,0.29,0.16
38,0.0,0.31,0.17
102,0.0,0.15,0.1
39,0.0,0.61,0.49
208,0.0,0.61,0.46
9,0.0,0.71,0.59
191,0.0,0.21,0.11
165,0.0,0.21,0.11
96,0.0,0.43,0.26
28,1.0,0.65,0.53
76,1.0,0.67,0.57
52,1.0,0.4,0.22
46,0.0,0.59,0.47
43,0.0,0.41,0.24
125,0.0,0.27,0.13
105,0.0,0.63,0.46
106,0.0,0.27,0.16
191,0.0,0.19,0.11
88,1.0,0.55,0.36
130,0.0,0.28,0.15
39,0.0,0.6,0.42
171,0.0,0.25,0.13
194,0.0,0.23,0.13
151,1.0,0.58,0.43
115,1.0,0.26,0.14
206,0.0,0.27,0.14
50,1.0,0.63,0.51
156,1.0,0.55,0.43
137,1.0,0.49,0.39
186,0.0,0.22,0.12
110,0.0,0.31,0.16
33,0.0,0.63,0.45
1,0.0,0.67,0.58
142,0.0,0.47,0.33
169,0.0,0.18,0.11
166,0.0,0.3,0.14
12,0.0,0.54,0.38
122,0.0,0.26,0.13
23,0.0,0.43,0.29
140,0.0,0.49,0.3
113,0.0,0.62,0.5
200,0.0,0.18,0.11
141,1.0,0.26,0.16
170,1.0,0.28,0.13
187,0.0,0.2,0.1
175,0.0,0.27,0.14
207,0.0,0.28,0.15
41,0.0,0.49,0.32
199,1.0,0.25,0.13
128,0.0,0.19,0.11
84,1.0,0.68,0.57
65,1.0,0.58,0.47
211,0.0,0.3,0.16
85,1.0,0.27,0.14
19,1.0,0.7,0.61
66,0.0,0.39,0.28
56,0.0,0.44,0.27
179,0.0,0.23,0.12
166,0.0,0.25,0.14
34,0.0,0.66,0.56
151,1.0,0.56,0.41
26,0.0,0.7,0.59
88,1.0,0.56,0.4
145,0.0,0.18,0.1
199,1.0,0.26,0.16
44,0.0,0.32,0.2
105,0.0,0.58,0.46
58,0.0,0.69,0.53
153,0.0,0.28,0.18
156,1.0,0.59,0.53
169,0.0,0.19,0.11
103,1.0,0.34,0.2
192,0.0,0.14,0.1
85,1.0,0.28,0.14
125,0.0,0.28,0.16
187,0.0,0.17,0.1
138,1.0,0.63,0.5
65,1.0,0.69,0.53
35,0.0,0.26,0.13
205,0.0,0.66,0.52
170,1.0,0.23,0.13
201,0.0,0.18,0.12
155,0.0,0.31,0.2
49,1.0,0.72,0.62
165,0.0,0.21,0.12
113,0.0,0.65,0.55
27,1.0,0.7,0.59
119,0.0,0.48,0.36
33,0.0,0.62,0.48
52,1.0,0.41,0.25
7,0.0,0.72,0.6
162,0.0,0.24,0.13
2,0.0,0.76,0.66
183,0.0,0.19,0.11
140,0.0,0.49,0.35
4,1.0,0.53,0.37
54,0.0,0.67,0.57
178,0.0,0.18,0.12
61,0.0,0.32,0.18
34,0.0,0.59,0.52
137,1.0,0.51,0.33
47,0.0,0.75,0.65
16,1.0,0.53,0.39
175,0.0,0.33,0.19
203,0.0,0.55,0.41
42,0.0,0.36,0.21
96,0.0,0.41,0.26
17,0.0,0.62,0.52
92,1.0,0.38,0.29
102,0.0,0.19,0.11
146,0.0,0.21,0.1
51,0.0,0.44,0.29
68,0.0,0.55,0.49
181,0.0,0.29,0.16
122,0.0,0.29,0.14
148,0.0,0.17,0.1
82,1.0,0.53,0.3
126,1.0,0.36,0.21
183,0.0,0.24,0.13
103,1.0,0.29,0.16
75,1.0,0.77,0.66
2,0.0,0.79,0.7
78,0.0,0.33,0.2
30,1.0,0.61,0.47
180,0.0,0.25,0.16
40,1.0,0.46,0.31
128,0.0,0.22,0.12
121,0.0,0.18,0.1
13,0.0,0.43,0.31
83,1.0,0.7,0.58
208,0.0,0.64,0.52
206,0.0,0.27,0.14
193,0.0,0.26,0.15
118,0.0,0.33,0.2
209,0.0,0.3,0.15
139,1.0,0.47,0.27
9,0.0,0.72,0.59
116,1.0,0.21,0.11
197,0.0,0.17,0.1
