idx,real y,probs_raw,probs_cal
144,0.0,0.1,0.18
80,0.0,0.5,0.23
138,0.0,0.48,0.23
164,0.0,0.56,0.31
3,0.0,0.61,0.31
78,1.0,0.53,0.33
120,0.0,0.57,0.3
51,0.0,0.33,0.26
47,0.0,0.31,0.22
82,0.0,0.66,0.37
11,1.0,0.7,0.4
93,1.0,0.52,0.23
145,0.0,0.15,0.17
19,1.0,0.67,0.37
65,1.0,0.54,0.27
69,0.0,0.47,0.27
57,0.0,0.41,0.26
148,0.0,0.15,0.17
4,1.0,0.75,0.47
131,0.0,0.48,0.28
10,0.0,0.62,0.38
122,0.0,0.36,0.23
169,0.0,0.49,0.23
77,1.0,0.38,0.26
162,0.0,0.18,0.17
58,1.0,0.28,0.22
159,0.0,0.28,0.22
45,0.0,0.69,0.43
1,1.0,0.54,0.28
111,0.0,0.47,0.25
118,0.0,0.73,0.4
175,0.0,0.1,0.17
112,1.0,0.7,0.44
62,0.0,0.47,0.24
185,0.0,0.51,0.29
28,1.0,0.57,0.37
91,0.0,0.27,0.26
143,0.0,0.15,0.17
81,0.0,0.29,0.28
14,1.0,0.17,0.21
126,0.0,0.09,0.18
64,1.0,0.34,0.36
48,0.0,0.62,0.49
176,0.0,0.13,0.21
179,0.0,0.26,0.3
178,1.0,0.24,0.23
122,0.0,0.25,0.24
8,1.0,0.24,0.25
5,0.0,0.46,0.4
186,0.0,0.22,0.23
30,1.0,0.46,0.42
144,0.0,0.07,0.15
182,0.0,0.12,0.19
10,0.0,0.26,0.22
118,0.0,0.17,0.21
3,0.0,0.34,0.32
113,0.0,0.19,0.21
158,0.0,0.01,0.14
73,0.0,0.08,0.17
58,1.0,0.1,0.17
27,1.0,0.64,0.54
46,0.0,0.1,0.18
143,0.0,0.02,0.14
41,0.0,0.85,0.67
137,0.0,0.02,0.15
180,0.0,0.35,0.34
11,1.0,0.57,0.43
132,0.0,0.08,0.17
177,0.0,0.09,0.16
92,1.0,0.31,0.29
125,0.0,0.23,0.25
78,1.0,0.31,0.32
156,0.0,0.2,0.21
121,1.0,0.07,0.17
17,0.0,0.17,0.19
138,0.0,0.15,0.19
35,0.0,0.84,0.57
17,0.0,0.19,0.27
118,0.0,0.22,0.32
137,0.0,0.0,0.18
43,1.0,0.47,0.23
158,0.0,0.01,0.15
102,1.0,0.69,0.44
10,0.0,0.14,0.22
56,0.0,0.6,0.43
112,1.0,0.58,0.36
96,0.0,0.72,0.53
128,1.0,0.58,0.39
111,0.0,0.53,0.35
119,0.0,0.74,0.53
18,1.0,0.4,0.28
8,1.0,0.16,0.21
2,0.0,0.56,0.45
37,0.0,0.64,0.4
155,0.0,0.37,0.3
183,0.0,0.42,0.33
109,0.0,0.6,0.36
48,0.0,0.55,0.35
172,0.0,0.2,0.2
92,1.0,0.43,0.36
164,0.0,0.16,0.24
169,0.0,0.46,0.19
38,1.0,0.52,0.45
12,0.0,0.13,0.2
5,0.0,0.69,0.42
14,1.0,0.27,0.32
50,0.0,0.72,0.33
139,0.0,0.09,0.17
101,0.0,0.02,0.23
36,0.0,0.11,0.18
19,1.0,0.4,0.25
184,0.0,0.55,0.25
93,1.0,0.54,0.39
33,0.0,0.06,0.22
103,0.0,0.32,0.33
30,1.0,0.31,0.27
132,0.0,0.17,0.19
42,1.0,0.4,0.41
162,0.0,0.05,0.14
15,0.0,0.55,0.53
127,0.0,0.27,0.27
9,0.0,0.37,0.31
175,0.0,0.15,0.22
62,0.0,0.23,0.22
24,1.0,0.28,0.29
164,0.0,0.11,0.19
144,0.0,0.13,0.19
163,0.0,0.15,0.17
173,0.0,0.38,0.3
112,1.0,0.45,0.4
40,1.0,0.23,0.26
3,0.0,0.36,0.34
161,0.0,0.0,0.12
133,0.0,0.68,0.66
67,1.0,0.31,0.26
109,0.0,0.25,0.24
130,0.0,0.06,0.14
99,1.0,0.21,0.27
102,1.0,0.63,0.54
159,0.0,0.19,0.22
115,0.0,0.59,0.52
57,0.0,0.12,0.19
2,0.0,0.62,0.55
105,1.0,0.28,0.28
118,0.0,0.36,0.35
187,0.0,0.51,0.46
27,1.0,0.78,0.72
83,1.0,0.54,0.51
129,0.0,0.12,0.18
51,0.0,0.45,0.4
137,0.0,0.09,0.15
50,0.0,0.71,0.62
149,0.0,0.03,0.23
109,0.0,0.51,0.32
102,1.0,0.66,0.42
55,0.0,0.73,0.43
121,1.0,0.01,0.21
179,0.0,0.64,0.41
142,0.0,0.02,0.23
110,0.0,0.55,0.36
46,0.0,0.06,0.22
171,0.0,0.0,0.2
86,1.0,0.2,0.26
118,0.0,0.29,0.28
138,0.0,0.01,0.21
170,0.0,0.01,0.2
69,0.0,0.53,0.38
173,0.0,0.67,0.32
158,0.0,0.01,0.22
45,0.0,0.68,0.42
9,0.0,0.05,0.22
155,0.0,0.04,0.22
175,0.0,0.42,0.35
41,0.0,0.99,0.54
79,1.0,0.32,0.3
44,0.0,0.25,0.29
11,1.0,0.92,0.41
185,0.0,0.36,0.33
40,1.0,0.05,0.24
93,1.0,0.72,0.42
154,0.0,0.17,0.23
24,1.0,0.09,0.25
181,0.0,0.01,0.21
68,1.0,0.16,0.31
124,0.0,0.0,0.22
157,0.0,0.08,0.25
95,0.0,0.01,0.21
81,0.0,0.41,0.3
19,1.0,0.08,0.22
78,1.0,0.05,0.24
36,0.0,0.06,0.2
75,1.0,0.33,0.26
177,0.0,0.02,0.21
163,0.0,0.29,0.2
86,1.0,0.56,0.36
127,0.0,0.26,0.25
57,0.0,0.25,0.22
172,0.0,0.34,0.27
61,0.0,0.78,0.46
146,0.0,0.0,0.18
83,1.0,0.75,0.42
33,0.0,0.34,0.22
123,1.0,0.11,0.2
155,0.0,0.06,0.2
95,0.0,0.07,0.18
74,0.0,0.41,0.29
14,1.0,0.24,0.29
132,0.0,0.22,0.2
135,0.0,0.07,0.21
29,1.0,0.07,0.2
107,0.0,0.05,0.19
130,0.0,0.0,0.18
