idx,real y,probs_raw,probs_cal
144,0.0,0.07,0.13
80,0.0,0.24,0.21
138,0.0,0.15,0.17
164,0.0,0.18,0.21
3,0.0,0.5,0.4
78,1.0,0.62,0.41
120,0.0,0.37,0.37
51,0.0,0.36,0.35
47,0.0,0.35,0.31
82,0.0,0.36,0.4
11,1.0,0.57,0.52
93,1.0,0.29,0.27
145,0.0,0.09,0.14
19,1.0,0.48,0.45
65,1.0,0.37,0.3
69,0.0,0.25,0.26
57,0.0,0.26,0.26
148,0.0,0.13,0.16
4,1.0,0.6,0.47
131,0.0,0.3,0.28
10,0.0,0.38,0.29
122,0.0,0.17,0.21
169,0.0,0.17,0.17
77,1.0,0.48,0.4
162,0.0,0.08,0.12
58,1.0,0.24,0.24
159,0.0,0.3,0.24
45,0.0,0.52,0.51
1,1.0,0.36,0.3
111,0.0,0.28,0.25
118,0.0,0.39,0.36
175,0.0,0.09,0.15
112,1.0,0.4,0.35
62,0.0,0.3,0.31
185,0.0,0.3,0.24
28,1.0,0.6,0.49
91,0.0,0.37,0.43
143,0.0,0.2,0.2
81,0.0,0.49,0.21
14,1.0,0.49,0.2
126,0.0,0.5,0.36
64,1.0,0.51,0.34
48,0.0,0.51,0.41
176,0.0,0.49,0.19
179,0.0,0.52,0.48
178,1.0,0.5,0.27
122,0.0,0.48,0.2
8,1.0,0.5,0.27
5,0.0,0.53,0.49
186,0.0,0.49,0.24
30,1.0,0.51,0.37
144,0.0,0.47,0.15
182,0.0,0.49,0.25
10,0.0,0.5,0.25
118,0.0,0.5,0.29
3,0.0,0.49,0.2
113,0.0,0.48,0.19
158,0.0,0.47,0.16
73,0.0,0.48,0.19
58,1.0,0.48,0.19
27,1.0,0.52,0.45
46,0.0,0.49,0.22
143,0.0,0.48,0.19
41,0.0,0.54,0.64
137,0.0,0.48,0.16
180,0.0,0.5,0.32
11,1.0,0.5,0.29
132,0.0,0.49,0.29
177,0.0,0.48,0.19
92,1.0,0.51,0.39
125,0.0,0.5,0.28
78,1.0,0.51,0.39
156,0.0,0.48,0.21
121,1.0,0.48,0.2
17,0.0,0.49,0.23
138,0.0,0.49,0.22
35,0.0,0.88,0.61
17,0.0,0.61,0.37
118,0.0,0.7,0.42
137,0.0,0.18,0.16
43,1.0,0.46,0.27
158,0.0,0.15,0.13
102,1.0,0.79,0.48
10,0.0,0.52,0.28
56,0.0,0.69,0.42
112,1.0,0.6,0.35
96,0.0,0.74,0.49
128,1.0,0.64,0.37
111,0.0,0.41,0.29
119,0.0,0.72,0.46
18,1.0,0.68,0.39
8,1.0,0.66,0.43
2,0.0,0.68,0.43
37,0.0,0.74,0.42
155,0.0,0.25,0.2
183,0.0,0.49,0.3
109,0.0,0.52,0.33
48,0.0,0.57,0.33
172,0.0,0.34,0.21
92,1.0,0.63,0.43
164,0.0,0.26,0.2
169,0.0,0.27,0.18
38,1.0,0.73,0.44
12,0.0,0.43,0.26
5,0.0,0.7,0.44
14,1.0,0.37,0.26
50,0.0,0.69,0.35
139,0.0,0.25,0.17
101,0.0,0.35,0.24
36,0.0,0.29,0.22
19,1.0,0.55,0.37
184,0.0,0.46,0.3
93,1.0,0.36,0.23
33,0.0,0.46,0.28
103,0.0,0.47,0.26
30,1.0,0.44,0.25
132,0.0,0.38,0.27
42,1.0,0.82,0.45
162,0.0,0.11,0.14
15,0.0,0.78,0.49
127,0.0,0.19,0.23
9,0.0,0.3,0.27
175,0.0,0.11,0.13
62,0.0,0.39,0.27
24,1.0,0.79,0.4
164,0.0,0.29,0.21
144,0.0,0.1,0.15
163,0.0,0.14,0.15
173,0.0,0.04,0.14
112,1.0,0.55,0.37
40,1.0,0.69,0.37
3,0.0,0.45,0.31
161,0.0,0.06,0.12
133,0.0,0.98,0.58
67,1.0,0.47,0.23
109,0.0,0.38,0.23
130,0.0,0.21,0.19
99,1.0,0.5,0.29
102,1.0,0.85,0.45
159,0.0,0.36,0.24
115,0.0,0.68,0.37
57,0.0,0.26,0.27
2,0.0,0.73,0.43
105,1.0,0.62,0.32
118,0.0,0.52,0.37
187,0.0,0.67,0.36
27,1.0,0.78,0.49
83,1.0,0.78,0.42
129,0.0,0.32,0.25
51,0.0,0.36,0.28
137,0.0,0.03,0.13
50,0.0,0.91,0.45
149,0.0,0.43,0.17
109,0.0,0.49,0.27
102,1.0,0.57,0.47
55,0.0,0.57,0.46
121,1.0,0.39,0.14
179,0.0,0.57,0.4
142,0.0,0.37,0.12
110,0.0,0.54,0.36
46,0.0,0.49,0.28
171,0.0,0.37,0.12
86,1.0,0.52,0.31
118,0.0,0.49,0.34
138,0.0,0.38,0.14
170,0.0,0.4,0.16
69,0.0,0.48,0.29
173,0.0,0.41,0.15
158,0.0,0.38,0.12
45,0.0,0.57,0.38
9,0.0,0.41,0.17
155,0.0,0.4,0.16
175,0.0,0.37,0.13
41,0.0,0.68,0.66
79,1.0,0.45,0.27
44,0.0,0.59,0.52
11,1.0,0.5,0.23
185,0.0,0.58,0.44
40,1.0,0.51,0.3
93,1.0,0.4,0.15
154,0.0,0.39,0.13
24,1.0,0.43,0.23
181,0.0,0.38,0.13
68,1.0,0.56,0.36
124,0.0,0.38,0.13
157,0.0,0.44,0.2
95,0.0,0.43,0.16
81,0.0,0.4,0.15
19,1.0,0.48,0.24
78,1.0,0.54,0.35
36,0.0,0.41,0.2
75,1.0,0.6,0.31
177,0.0,0.41,0.16
163,0.0,0.42,0.14
86,1.0,0.58,0.39
127,0.0,0.44,0.22
57,0.0,0.55,0.28
172,0.0,0.41,0.18
61,0.0,0.41,0.26
146,0.0,0.4,0.15
83,1.0,0.63,0.41
33,0.0,0.57,0.25
123,1.0,0.44,0.23
155,0.0,0.44,0.18
95,0.0,0.43,0.19
74,0.0,0.54,0.27
14,1.0,0.44,0.22
132,0.0,0.36,0.22
135,0.0,0.47,0.2
29,1.0,0.42,0.22
107,0.0,0.43,0.16
130,0.0,0.45,0.19
181,0.0,0.47,0.17
126,0.0,0.37,0.27
45,0.0,0.58,0.36
89,0.0,0.41,0.22
46,0.0,0.54,0.26
59,1.0,0.62,0.45
79,1.0,0.72,0.48
64,1.0,0.39,0.29
184,0.0,0.42,0.23
3,0.0,0.57,0.27
11,1.0,0.56,0.38
10,0.0,0.47,0.26
52,0.0,0.47,0.24
143,0.0,0.42,0.16
175,0.0,0.49,0.17
38,1.0,0.44,0.34
79,1.0,0.6,0.4
64,1.0,0.59,0.36
101,0.0,0.31,0.25
34,0.0,0.4,0.24
108,0.0,0.36,0.33
70,1.0,0.34,0.21
138,0.0,0.15,0.13
158,0.0,0.11,0.09
187,0.0,0.33,0.23
38,1.0,0.45,0.27
142,0.0,0.11,0.09
86,1.0,0.73,0.5
169,0.0,0.19,0.12
167,0.0,0.1,0.11
49,0.0,0.45,0.26
51,0.0,0.55,0.36
59,1.0,0.68,0.41
120,0.0,0.5,0.33
131,0.0,0.47,0.3
157,0.0,0.18,0.13
149,0.0,0.33,0.23
73,0.0,0.35,0.23
72,0.0,0.25,0.21
14,1.0,0.52,0.34
85,0.0,0.43,0.3
37,0.0,0.53,0.34
61,0.0,0.42,0.22
0,0.0,0.8,0.54
77,1.0,0.6,0.4
12,0.0,0.13,0.15
128,1.0,0.52,0.37
88,0.0,0.51,0.25
144,0.0,0.09,0.1
44,0.0,0.24,0.2
159,0.0,0.39,0.24
21,1.0,0.45,0.25
6,1.0,0.59,0.5
135,0.0,0.31,0.24
165,0.0,0.12,0.15
28,1.0,0.64,0.27
74,0.0,0.39,0.34
114,1.0,0.17,0.13
12,0.0,0.45,0.28
30,1.0,0.16,0.16
168,0.0,0.17,0.15
45,0.0,0.78,0.53
19,1.0,0.71,0.46
110,0.0,0.77,0.48
67,1.0,0.29,0.21
21,1.0,0.4,0.21
176,0.0,0.31,0.22
108,0.0,0.34,0.26
123,1.0,0.33,0.24
23,0.0,0.54,0.36
132,0.0,0.47,0.28
167,0.0,0.09,0.1
187,0.0,0.62,0.22
88,0.0,0.29,0.21
153,0.0,0.11,0.13
105,1.0,0.59,0.38
122,0.0,0.36,0.24
87,0.0,0.74,0.48
129,0.0,0.32,0.25
36,0.0,0.25,0.21
166,0.0,0.14,0.15
9,0.0,0.63,0.45
150,0.0,0.14,0.15
33,0.0,0.51,0.43
81,0.0,0.26,0.16
54,1.0,0.37,0.17
98,0.0,0.65,0.38
139,0.0,0.13,0.13
24,1.0,0.72,0.38
99,1.0,0.54,0.25
47,0.0,0.35,0.33
62,0.0,0.42,0.27
114,1.0,0.17,0.22
166,0.0,0.06,0.11
54,1.0,0.16,0.25
141,0.0,0.13,0.17
19,1.0,0.65,0.55
57,0.0,0.35,0.29
140,0.0,0.1,0.17
33,0.0,0.23,0.24
30,1.0,0.12,0.21
31,0.0,0.44,0.32
176,0.0,0.17,0.18
78,1.0,0.36,0.39
142,0.0,0.07,0.12
28,1.0,0.5,0.47
130,0.0,0.19,0.17
38,1.0,0.24,0.32
85,0.0,0.27,0.28
106,0.0,0.13,0.24
158,0.0,0.06,0.11
111,0.0,0.24,0.3
184,0.0,0.3,0.35
120,0.0,0.46,0.42
25,1.0,0.5,0.48
127,0.0,0.38,0.36
149,0.0,0.16,0.2
37,0.0,0.36,0.43
102,1.0,0.52,0.46
180,0.0,0.53,0.49
80,0.0,0.18,0.26
26,1.0,0.28,0.44
42,1.0,0.53,0.5
71,0.0,0.56,0.47
137,0.0,0.1,0.14
56,0.0,0.58,0.52
34,0.0,0.21,0.22
119,0.0,0.31,0.34
45,0.0,0.46,0.46
179,0.0,0.25,0.25
168,0.0,0.23,0.13
43,1.0,0.35,0.21
170,0.0,0.28,0.15
23,0.0,0.61,0.43
104,0.0,0.35,0.22
87,0.0,0.69,0.45
153,0.0,0.22,0.12
19,1.0,0.64,0.4
113,0.0,0.33,0.22
184,0.0,0.65,0.36
112,1.0,0.63,0.41
22,0.0,0.86,0.64
150,0.0,0.22,0.12
0,0.0,0.73,0.53
29,1.0,0.28,0.16
8,1.0,0.37,0.22
42,1.0,0.8,0.58
37,0.0,0.8,0.54
134,0.0,0.71,0.45
157,0.0,0.26,0.13
131,0.0,0.6,0.29
41,0.0,0.9,0.74
86,1.0,0.77,0.51
64,1.0,0.51,0.28
46,0.0,0.77,0.42
146,0.0,0.23,0.12
49,0.0,0.66,0.36
136,0.0,0.71,0.44
97,0.0,0.52,0.38
56,0.0,0.39,0.33
114,1.0,0.27,0.17
72,0.0,0.36,0.21
159,0.0,0.48,0.29
125,0.0,0.35,0.2
15,0.0,0.87,0.66
83,1.0,0.72,0.48
54,1.0,0.39,0.21
177,0.0,0.22,0.14
124,0.0,0.23,0.21
129,0.0,0.54,0.31
160,0.0,0.4,0.26
167,0.0,0.18,0.2
56,0.0,0.87,0.47
140,0.0,0.31,0.24
107,0.0,0.18,0.21
21,1.0,0.35,0.34
151,0.0,0.39,0.26
176,0.0,0.49,0.27
60,1.0,0.58,0.33
28,1.0,0.7,0.44
99,1.0,0.51,0.25
79,1.0,0.56,0.34
47,0.0,0.51,0.3
76,0.0,0.32,0.28
27,1.0,0.82,0.41
