idx,real y,probs_raw,probs_cal
144,0.0,0.2,0.14
80,0.0,0.36,0.19
138,0.0,0.27,0.15
164,0.0,0.34,0.22
3,0.0,0.43,0.32
78,1.0,0.58,0.47
120,0.0,0.49,0.39
51,0.0,0.4,0.28
47,0.0,0.41,0.28
82,0.0,0.46,0.36
11,1.0,0.51,0.45
93,1.0,0.31,0.2
145,0.0,0.25,0.15
19,1.0,0.47,0.34
65,1.0,0.4,0.22
69,0.0,0.43,0.35
57,0.0,0.34,0.21
148,0.0,0.27,0.17
4,1.0,0.64,0.57
131,0.0,0.44,0.3
10,0.0,0.45,0.32
122,0.0,0.29,0.19
169,0.0,0.27,0.16
77,1.0,0.53,0.46
162,0.0,0.19,0.12
58,1.0,0.36,0.25
159,0.0,0.34,0.21
45,0.0,0.58,0.51
1,1.0,0.44,0.27
111,0.0,0.45,0.33
118,0.0,0.57,0.43
175,0.0,0.18,0.12
112,1.0,0.54,0.46
62,0.0,0.44,0.35
185,0.0,0.43,0.26
28,1.0,0.6,0.5
91,0.0,0.51,0.43
143,0.0,0.32,0.19
81,0.0,0.22,0.18
14,1.0,0.23,0.18
126,0.0,0.58,0.49
64,1.0,0.52,0.38
48,0.0,0.48,0.44
176,0.0,0.25,0.19
179,0.0,0.59,0.46
178,1.0,0.35,0.22
122,0.0,0.29,0.2
8,1.0,0.22,0.2
5,0.0,0.67,0.53
186,0.0,0.24,0.2
30,1.0,0.44,0.33
144,0.0,0.07,0.12
182,0.0,0.3,0.22
10,0.0,0.27,0.2
118,0.0,0.38,0.25
3,0.0,0.21,0.16
113,0.0,0.15,0.15
158,0.0,0.07,0.12
73,0.0,0.14,0.14
58,1.0,0.15,0.15
27,1.0,0.71,0.46
46,0.0,0.22,0.18
143,0.0,0.13,0.14
41,0.0,0.79,0.64
137,0.0,0.05,0.12
180,0.0,0.45,0.3
11,1.0,0.58,0.32
132,0.0,0.42,0.36
177,0.0,0.11,0.14
92,1.0,0.52,0.44
125,0.0,0.38,0.25
78,1.0,0.55,0.51
156,0.0,0.27,0.22
121,1.0,0.12,0.15
17,0.0,0.27,0.18
138,0.0,0.16,0.17
35,0.0,0.63,0.62
17,0.0,0.47,0.33
118,0.0,0.52,0.45
137,0.0,0.15,0.1
43,1.0,0.36,0.25
158,0.0,0.19,0.12
102,1.0,0.62,0.57
10,0.0,0.35,0.22
56,0.0,0.58,0.51
112,1.0,0.53,0.45
96,0.0,0.44,0.39
128,1.0,0.5,0.43
111,0.0,0.45,0.39
119,0.0,0.47,0.42
18,1.0,0.51,0.41
8,1.0,0.46,0.31
2,0.0,0.56,0.51
37,0.0,0.62,0.56
155,0.0,0.26,0.18
183,0.0,0.44,0.34
109,0.0,0.33,0.23
48,0.0,0.38,0.3
172,0.0,0.27,0.16
92,1.0,0.49,0.4
164,0.0,0.32,0.2
169,0.0,0.23,0.14
38,1.0,0.62,0.58
12,0.0,0.43,0.3
5,0.0,0.58,0.54
14,1.0,0.42,0.3
50,0.0,0.51,0.44
139,0.0,0.25,0.15
101,0.0,0.3,0.22
36,0.0,0.38,0.26
19,1.0,0.43,0.34
184,0.0,0.44,0.33
93,1.0,0.32,0.23
33,0.0,0.39,0.25
103,0.0,0.32,0.21
30,1.0,0.35,0.24
132,0.0,0.38,0.28
42,1.0,0.55,0.49
162,0.0,0.18,0.1
15,0.0,0.68,0.69
127,0.0,0.32,0.22
9,0.0,0.38,0.24
175,0.0,0.17,0.09
62,0.0,0.4,0.3
24,1.0,0.5,0.42
164,0.0,0.31,0.18
144,0.0,0.25,0.12
163,0.0,0.22,0.11
173,0.0,0.23,0.11
112,1.0,0.49,0.41
40,1.0,0.46,0.33
3,0.0,0.4,0.27
161,0.0,0.2,0.1
133,0.0,0.64,0.67
67,1.0,0.32,0.19
109,0.0,0.33,0.2
130,0.0,0.26,0.14
99,1.0,0.41,0.3
102,1.0,0.58,0.56
159,0.0,0.32,0.19
115,0.0,0.48,0.38
57,0.0,0.36,0.24
2,0.0,0.54,0.45
