idx,real y,probs_raw,probs_cal
60,0.0,0.48,0.43
122,1.0,0.34,0.26
180,0.0,0.32,0.25
186,0.0,0.41,0.34
149,0.0,0.38,0.3
66,0.0,0.52,0.45
203,0.0,0.17,0.17
139,1.0,0.85,0.76
15,0.0,0.41,0.36
148,0.0,0.33,0.25
235,0.0,0.15,0.16
134,0.0,0.92,0.77
181,0.0,0.12,0.14
89,1.0,0.75,0.65
171,1.0,0.42,0.36
5,0.0,0.85,0.73
49,1.0,0.39,0.31
18,1.0,0.91,0.72
133,1.0,0.95,0.79
228,0.0,0.15,0.17
160,0.0,0.32,0.24
242,0.0,0.48,0.44
172,0.0,0.4,0.33
103,1.0,0.96,0.8
108,1.0,0.39,0.31
55,0.0,0.51,0.46
124,1.0,0.67,0.56
126,0.0,0.32,0.25
210,0.0,0.17,0.17
54,0.0,0.54,0.48
193,1.0,0.31,0.25
75,1.0,0.35,0.29
9,1.0,0.43,0.37
219,0.0,0.35,0.3
173,1.0,0.86,0.76
200,0.0,0.35,0.29
14,1.0,0.91,0.78
38,1.0,0.31,0.38
184,1.0,0.45,0.38
199,0.0,0.15,0.16
229,0.0,0.18,0.19
137,0.0,0.33,0.26
227,0.0,0.18,0.18
90,0.0,0.24,0.22
206,0.0,0.15,0.15
80,0.0,0.44,0.34
114,1.0,0.44,0.37
50,0.0,0.47,0.42
45,0.0,0.87,0.75
92,1.0,0.81,0.62
1,1.0,0.45,0.45
135,1.0,0.49,0.51
245,0.0,0.24,0.26
202,0.0,0.37,0.37
66,0.0,0.63,0.61
213,0.0,0.19,0.23
42,0.0,0.46,0.46
38,1.0,0.61,0.61
107,1.0,0.5,0.48
174,1.0,0.31,0.3
20,0.0,0.32,0.35
155,1.0,0.44,0.44
199,0.0,0.2,0.22
5,0.0,0.7,0.67
93,0.0,0.41,0.4
149,0.0,0.45,0.4
180,0.0,0.2,0.21
102,1.0,0.55,0.51
48,0.0,0.52,0.52
26,1.0,0.59,0.61
72,1.0,0.32,0.34
184,1.0,0.53,0.54
11,1.0,0.51,0.5
177,0.0,0.46,0.44
61,1.0,0.75,0.73
37,1.0,0.33,0.34
73,0.0,0.57,0.57
15,0.0,0.52,0.49
58,1.0,0.6,0.59
225,0.0,0.17,0.21
126,0.0,0.15,0.19
79,0.0,0.42,0.46
136,0.0,0.24,0.25
163,0.0,0.17,0.2
80,0.0,0.31,0.3
63,0.0,0.52,0.5
54,0.0,0.53,0.5
139,1.0,0.76,0.73
241,0.0,0.15,0.19
129,0.0,0.51,0.5
41,1.0,0.56,0.55
151,0.0,0.13,0.18
121,1.0,0.62,0.64
226,0.0,0.07,0.16
29,1.0,0.63,0.65
173,1.0,0.6,0.57
115,0.0,0.25,0.26
238,0.0,0.4,0.41
167,0.0,0.31,0.31
46,0.0,0.29,0.3
215,0.0,0.16,0.16
190,1.0,0.65,0.65
154,1.0,0.55,0.56
64,1.0,0.3,0.32
128,1.0,0.14,0.16
206,0.0,0.02,0.11
153,0.0,0.18,0.19
92,1.0,0.4,0.36
101,0.0,0.28,0.26
230,0.0,0.04,0.11
117,0.0,0.39,0.4
242,0.0,0.45,0.41
48,0.0,0.44,0.46
143,1.0,0.52,0.52
46,0.0,0.18,0.17
112,0.0,0.4,0.39
225,0.0,0.17,0.18
31,0.0,0.23,0.23
47,0.0,0.16,0.17
170,1.0,0.45,0.45
33,0.0,0.48,0.51
158,1.0,0.31,0.34
145,1.0,0.15,0.2
124,1.0,0.64,0.68
32,0.0,0.36,0.32
164,0.0,0.17,0.17
50,0.0,0.44,0.42
121,1.0,0.6,0.6
100,1.0,0.62,0.66
65,1.0,0.1,0.15
49,1.0,0.22,0.21
20,0.0,0.34,0.32
36,1.0,0.55,0.58
144,0.0,0.49,0.5
196,0.0,0.17,0.18
126,0.0,0.04,0.11
127,1.0,0.57,0.6
134,0.0,0.69,0.7
116,0.0,0.16,0.19
4,0.0,0.59,0.53
96,1.0,0.4,0.35
199,0.0,0.18,0.25
15,0.0,0.54,0.54
209,0.0,0.25,0.22
1,1.0,0.28,0.28
54,0.0,0.52,0.52
107,1.0,0.49,0.52
131,0.0,0.49,0.47
25,0.0,0.13,0.16
90,0.0,0.39,0.38
240,0.0,0.13,0.16
175,0.0,0.52,0.47
162,0.0,0.2,0.16
145,1.0,0.2,0.19
200,0.0,0.19,0.18
137,0.0,0.34,0.26
