idx,real y,probs_raw,probs_cal
241,0.0,0.1,0.11
167,1.0,0.2,0.17
73,0.0,0.27,0.21
145,0.0,0.37,0.27
142,0.0,0.39,0.33
172,0.0,0.18,0.14
109,0.0,0.32,0.22
29,1.0,0.6,0.51
119,0.0,0.42,0.38
196,0.0,0.28,0.19
195,0.0,0.16,0.13
193,0.0,0.43,0.37
214,0.0,0.36,0.24
233,0.0,0.39,0.34
15,1.0,0.21,0.17
166,0.0,0.27,0.21
19,1.0,0.09,0.1
53,1.0,0.39,0.34
61,1.0,0.63,0.62
110,0.0,0.38,0.3
159,0.0,0.22,0.18
2,0.0,0.57,0.52
103,0.0,0.15,0.13
164,0.0,0.32,0.24
121,1.0,0.73,0.74
131,0.0,0.19,0.19
134,1.0,0.51,0.52
209,0.0,0.32,0.26
105,0.0,0.1,0.1
41,0.0,0.46,0.44
202,0.0,0.22,0.16
23,1.0,0.36,0.33
70,1.0,0.7,0.7
11,0.0,0.26,0.19
123,1.0,0.58,0.63
6,0.0,0.46,0.42
120,1.0,0.11,0.1
185,1.0,0.44,0.4
192,1.0,0.7,0.71
98,0.0,0.24,0.21
46,0.0,0.22,0.18
165,0.0,0.18,0.13
36,0.0,0.54,0.57
160,0.0,0.09,0.1
197,0.0,0.16,0.13
81,0.0,0.38,0.28
50,1.0,0.67,0.66
106,0.0,0.32,0.22
148,0.0,0.16,0.11
49,0.0,0.41,0.33
209,0.0,0.26,0.21
163,0.0,0.19,0.14
142,0.0,0.36,0.28
113,0.0,0.48,0.41
45,0.0,0.3,0.2
189,0.0,0.28,0.19
130,0.0,0.48,0.43
245,0.0,0.23,0.17
243,1.0,0.34,0.27
37,0.0,0.39,0.33
70,1.0,0.72,0.72
88,1.0,0.36,0.25
222,1.0,0.36,0.29
179,0.0,0.3,0.22
204,1.0,0.28,0.2
100,0.0,0.21,0.14
213,0.0,0.52,0.39
240,0.0,0.21,0.15
72,0.0,0.48,0.36
56,0.0,0.49,0.47
238,1.0,0.19,0.14
25,1.0,0.15,0.1
83,0.0,0.41,0.36
211,0.0,0.33,0.25
126,0.0,0.2,0.13
134,1.0,0.59,0.56
246,0.0,0.38,0.31
199,0.0,0.28,0.2
194,0.0,0.31,0.22
73,0.0,0.23,0.16
40,0.0,0.33,0.23
110,0.0,0.31,0.22
35,1.0,0.23,0.16
29,1.0,0.57,0.53
32,0.0,0.09,0.09
104,0.0,0.36,0.26
89,1.0,0.79,0.79
121,1.0,0.78,0.76
6,0.0,0.5,0.49
28,1.0,0.69,0.66
150,1.0,0.36,0.26
98,0.0,0.37,0.31
159,0.0,0.21,0.15
9,0.0,0.3,0.24
235,0.0,0.21,0.15
140,1.0,0.7,0.72
65,0.0,0.21,0.12
216,0.0,0.2,0.16
2,0.0,0.53,0.55
193,0.0,0.48,0.41
194,0.0,0.33,0.25
175,1.0,0.53,0.48
53,1.0,0.44,0.35
166,0.0,0.25,0.23
108,0.0,0.39,0.29
24,0.0,0.19,0.18
8,0.0,0.18,0.16
91,1.0,0.47,0.4
101,0.0,0.31,0.26
6,0.0,0.47,0.39
236,0.0,0.3,0.23
1,0.0,0.23,0.19
171,0.0,0.2,0.16
10,1.0,0.45,0.35
198,0.0,0.24,0.2
94,0.0,0.22,0.19
103,0.0,0.14,0.15
93,0.0,0.38,0.32
21,0.0,0.47,0.37
80,1.0,0.43,0.38
159,0.0,0.36,0.27
193,0.0,0.41,0.36
63,1.0,0.23,0.19
234,1.0,0.25,0.2
40,0.0,0.36,0.25
98,0.0,0.34,0.29
129,0.0,0.38,0.29
97,1.0,0.57,0.5
123,1.0,0.65,0.59
135,1.0,0.54,0.5
15,1.0,0.21,0.2
85,0.0,0.28,0.23
221,1.0,0.35,0.27
37,0.0,0.42,0.33
241,0.0,0.2,0.16
115,0.0,0.16,0.14
124,1.0,0.66,0.6
27,0.0,0.47,0.35
9,0.0,0.37,0.31
90,0.0,0.21,0.2
213,0.0,0.43,0.32
45,0.0,0.33,0.25
18,0.0,0.6,0.51
