idx,real y,probs_raw,probs_cal
241,0.0,0.17,0.08
167,1.0,0.35,0.23
73,0.0,0.27,0.15
145,0.0,0.43,0.31
142,0.0,0.53,0.46
172,0.0,0.35,0.22
109,0.0,0.29,0.17
29,1.0,0.62,0.6
119,0.0,0.45,0.36
196,0.0,0.22,0.1
195,0.0,0.36,0.22
193,0.0,0.5,0.41
214,0.0,0.31,0.17
233,0.0,0.36,0.21
15,1.0,0.33,0.19
166,0.0,0.43,0.33
19,1.0,0.19,0.09
53,1.0,0.53,0.46
61,1.0,0.59,0.6
110,0.0,0.36,0.23
159,0.0,0.37,0.23
2,0.0,0.49,0.46
103,0.0,0.26,0.13
164,0.0,0.47,0.37
121,1.0,0.65,0.69
131,0.0,0.43,0.31
134,1.0,0.58,0.54
209,0.0,0.34,0.22
105,0.0,0.29,0.15
41,0.0,0.54,0.47
202,0.0,0.28,0.14
23,1.0,0.5,0.43
70,1.0,0.61,0.61
11,0.0,0.27,0.15
123,1.0,0.56,0.53
6,0.0,0.41,0.3
120,1.0,0.28,0.15
185,1.0,0.41,0.29
192,1.0,0.63,0.63
98,0.0,0.29,0.15
46,0.0,0.31,0.17
165,0.0,0.27,0.13
36,0.0,0.64,0.64
160,0.0,0.22,0.11
197,0.0,0.24,0.12
81,0.0,0.41,0.3
50,1.0,0.62,0.61
106,0.0,0.36,0.22
148,0.0,0.21,0.1
49,0.0,0.39,0.25
209,0.0,0.26,0.16
163,0.0,0.2,0.11
142,0.0,0.45,0.39
113,0.0,0.46,0.39
45,0.0,0.33,0.22
189,0.0,0.25,0.14
130,0.0,0.54,0.45
245,0.0,0.23,0.14
243,1.0,0.43,0.32
37,0.0,0.4,0.33
70,1.0,0.6,0.7
88,1.0,0.35,0.23
222,1.0,0.36,0.29
179,0.0,0.26,0.18
204,1.0,0.24,0.15
100,0.0,0.24,0.13
213,0.0,0.42,0.4
240,0.0,0.19,0.11
72,0.0,0.39,0.31
56,0.0,0.5,0.5
238,1.0,0.2,0.11
25,1.0,0.22,0.12
83,0.0,0.55,0.5
211,0.0,0.29,0.21
126,0.0,0.21,0.12
134,1.0,0.65,0.65
246,0.0,0.41,0.36
199,0.0,0.29,0.2
194,0.0,0.31,0.2
73,0.0,0.21,0.12
40,0.0,0.27,0.18
110,0.0,0.26,0.17
35,1.0,0.29,0.17
29,1.0,0.63,0.65
32,0.0,0.16,0.09
104,0.0,0.36,0.28
89,1.0,0.73,0.84
121,1.0,0.67,0.81
6,0.0,0.5,0.44
28,1.0,0.61,0.64
150,1.0,0.39,0.34
98,0.0,0.33,0.21
159,0.0,0.22,0.14
9,0.0,0.41,0.29
235,0.0,0.25,0.14
140,1.0,0.63,0.74
65,0.0,0.2,0.1
216,0.0,0.22,0.12
2,0.0,0.48,0.45
193,0.0,0.51,0.49
194,0.0,0.34,0.24
175,1.0,0.58,0.6
53,1.0,0.54,0.45
166,0.0,0.32,0.24
108,0.0,0.39,0.29
24,0.0,0.25,0.16
8,0.0,0.22,0.14
91,1.0,0.49,0.51
101,0.0,0.36,0.28
6,0.0,0.48,0.45
236,0.0,0.26,0.15
1,0.0,0.22,0.13
171,0.0,0.26,0.17
10,1.0,0.4,0.34
198,0.0,0.25,0.16
94,0.0,0.26,0.15
103,0.0,0.22,0.15
93,0.0,0.37,0.28
21,0.0,0.53,0.48
80,1.0,0.51,0.46
159,0.0,0.3,0.21
193,0.0,0.5,0.5
63,1.0,0.29,0.2
234,1.0,0.24,0.16
40,0.0,0.42,0.3
98,0.0,0.32,0.22
129,0.0,0.44,0.31
97,1.0,0.49,0.49
123,1.0,0.61,0.65
135,1.0,0.56,0.57
15,1.0,0.3,0.21
85,0.0,0.3,0.2
221,1.0,0.28,0.21
37,0.0,0.42,0.35
241,0.0,0.19,0.11
115,0.0,0.19,0.12
124,1.0,0.67,0.73
27,0.0,0.5,0.48
9,0.0,0.42,0.36
90,0.0,0.28,0.19
213,0.0,0.39,0.37
45,0.0,0.32,0.23
18,0.0,0.58,0.6
128,0.0,0.32,0.25
173,1.0,0.34,0.26
156,0.0,0.26,0.15
60,1.0,0.49,0.43
181,0.0,0.26,0.17
26,0.0,0.44,0.38
106,0.0,0.42,0.29
189,0.0,0.21,0.16
213,0.0,0.42,0.4
46,0.0,0.23,0.17
245,0.0,0.3,0.2
97,1.0,0.55,0.52
102,0.0,0.18,0.15
170,1.0,0.3,0.21
176,1.0,0.16,0.13
133,1.0,0.38,0.29
41,0.0,0.49,0.49
239,0.0,0.36,0.23
107,0.0,0.28,0.18
117,0.0,0.33,0.3
8,0.0,0.16,0.13
101,0.0,0.41,0.32
186,0.0,0.42,0.37
28,1.0,0.66,0.65
59,1.0,0.51,0.53
43,0.0,0.47,0.46
86,1.0,0.44,0.39
24,0.0,0.26,0.18
171,0.0,0.28,0.2
105,0.0,0.15,0.14
1,0.0,0.22,0.16
218,0.0,0.3,0.22
140,1.0,0.6,0.66
193,0.0,0.46,0.39
94,0.0,0.2,0.15
55,1.0,0.62,0.58
226,1.0,0.32,0.26
132,0.0,0.27,0.22
88,1.0,0.32,0.24
125,0.0,0.15,0.13
131,0.0,0.34,0.27
201,0.0,0.34,0.25
115,0.0,0.23,0.17
119,0.0,0.5,0.44
73,0.0,0.22,0.16
164,0.0,0.35,0.28
23,1.0,0.5,0.45
40,0.0,0.26,0.19
123,1.0,0.56,0.64
160,0.0,0.17,0.14
196,0.0,0.24,0.17
195,0.0,0.26,0.18
192,1.0,0.65,0.64
240,0.0,0.19,0.15
187,0.0,0.37,0.36
165,0.0,0.19,0.15
51,1.0,0.28,0.23
58,0.0,0.49,0.49
138,0.0,0.23,0.16
62,1.0,0.33,0.25
202,0.0,0.27,0.15
164,0.0,0.41,0.27
226,1.0,0.28,0.16
149,0.0,0.31,0.23
122,1.0,0.24,0.17
131,0.0,0.31,0.23
23,1.0,0.43,0.44
204,1.0,0.27,0.14
20,1.0,0.8,0.76
66,0.0,0.3,0.24
52,0.0,0.26,0.15
107,0.0,0.27,0.18
51,1.0,0.33,0.21
95,0.0,0.35,0.3
5,0.0,0.62,0.68
44,0.0,0.25,0.11
232,0.0,0.16,0.15
34,0.0,0.59,0.48
86,1.0,0.38,0.27
117,0.0,0.36,0.3
239,0.0,0.3,0.22
72,0.0,0.47,0.39
178,0.0,0.22,0.12
31,0.0,0.6,0.57
183,0.0,0.3,0.12
179,0.0,0.27,0.19
174,1.0,0.38,0.17
111,0.0,0.28,0.12
160,0.0,0.2,0.11
234,1.0,0.27,0.16
56,0.0,0.55,0.54
210,0.0,0.42,0.3
32,0.0,0.26,0.12
175,1.0,0.68,0.67
159,0.0,0.26,0.18
14,1.0,0.82,0.71
244,0.0,0.28,0.12
223,1.0,0.46,0.42
101,0.0,0.37,0.29
33,0.0,0.39,0.31
193,0.0,0.39,0.32
173,1.0,0.45,0.32
156,0.0,0.24,0.12
214,0.0,0.24,0.12
188,0.0,0.26,0.15
144,1.0,0.25,0.16
231,0.0,0.21,0.11
52,0.0,0.23,0.13
98,0.0,0.32,0.21
170,1.0,0.3,0.2
47,0.0,0.32,0.23
67,0.0,0.49,0.46
222,1.0,0.34,0.24
91,1.0,0.52,0.47
180,0.0,0.17,0.11
245,0.0,0.25,0.16
150,1.0,0.37,0.29
122,1.0,0.26,0.15
115,0.0,0.25,0.14
33,0.0,0.41,0.29
141,0.0,0.29,0.19
234,1.0,0.31,0.22
216,0.0,0.23,0.14
114,0.0,0.42,0.38
71,1.0,0.65,0.7
124,1.0,0.68,0.73
84,0.0,0.46,0.42
68,0.0,0.67,0.7
110,0.0,0.4,0.25
183,0.0,0.19,0.12
242,0.0,0.39,0.32
103,0.0,0.23,0.14
182,0.0,0.24,0.15
243,1.0,0.47,0.45
205,0.0,0.39,0.27
123,1.0,0.62,0.64
6,0.0,0.52,0.43
239,0.0,0.3,0.19
17,0.0,0.27,0.17
209,0.0,0.27,0.19
25,1.0,0.27,0.16
63,1.0,0.3,0.19
94,0.0,0.2,0.13
42,0.0,0.31,0.21
192,1.0,0.67,0.7
233,0.0,0.36,0.25
171,0.0,0.27,0.17
188,0.0,0.31,0.21
9,0.0,0.44,0.38
74,0.0,0.29,0.19
2,0.0,0.52,0.56
224,0.0,0.44,0.34
13,1.0,0.62,0.6
212,0.0,0.29,0.19
175,1.0,0.59,0.62
241,0.0,0.18,0.11
119,0.0,0.37,0.3
139,1.0,0.58,0.51
177,0.0,0.28,0.21
172,0.0,0.34,0.24
135,1.0,0.65,0.59
133,1.0,0.43,0.33
24,0.0,0.27,0.19
181,0.0,0.24,0.18
152,0.0,0.37,0.3
233,0.0,0.33,0.22
12,1.0,0.71,0.69
220,1.0,0.35,0.26
74,0.0,0.31,0.24
89,1.0,0.74,0.73
197,0.0,0.18,0.14
114,0.0,0.5,0.4
82,1.0,0.61,0.55
198,0.0,0.3,0.2
158,0.0,0.31,0.23
227,0.0,0.37,0.27
21,0.0,0.52,0.45
175,1.0,0.6,0.58
246,0.0,0.44,0.35
27,0.0,0.54,0.47
28,1.0,0.64,0.57
195,0.0,0.27,0.19
192,1.0,0.71,0.63
5,0.0,0.54,0.45
125,0.0,0.16,0.13
61,1.0,0.69,0.59
32,0.0,0.17,0.14
41,0.0,0.56,0.47
13,1.0,0.52,0.49
171,0.0,0.27,0.19
76,0.0,0.57,0.49
130,0.0,0.43,0.38
155,0.0,0.29,0.21
0,0.0,0.34,0.25
128,0.0,0.42,0.31
47,0.0,0.36,0.33
14,1.0,0.67,0.67
69,0.0,0.34,0.26
100,0.0,0.24,0.19
153,0.0,0.28,0.22
140,1.0,0.67,0.61
118,0.0,0.54,0.46
186,0.0,0.48,0.42
221,1.0,0.36,0.27
142,0.0,0.55,0.47
131,0.0,0.36,0.28
202,0.0,0.22,0.16
228,0.0,0.38,0.32
239,0.0,0.32,0.21
22,1.0,0.65,0.67
190,0.0,0.54,0.56
51,1.0,0.33,0.24
151,0.0,0.29,0.19
15,1.0,0.31,0.2
102,0.0,0.18,0.11
60,1.0,0.47,0.41
141,0.0,0.33,0.22
26,0.0,0.44,0.35
121,1.0,0.72,0.82
49,0.0,0.27,0.16
72,0.0,0.39,0.28
103,0.0,0.23,0.13
242,0.0,0.38,0.32
67,0.0,0.52,0.47
224,0.0,0.49,0.48
52,0.0,0.21,0.13
33,0.0,0.41,0.32
110,0.0,0.28,0.18
198,0.0,0.29,0.19
234,1.0,0.3,0.21
170,1.0,0.32,0.24
65,0.0,0.22,0.13
133,1.0,0.42,0.31
202,0.0,0.16,0.1
236,0.0,0.31,0.2
132,0.0,0.31,0.22
243,1.0,0.42,0.31
143,1.0,0.64,0.67
50,1.0,0.62,0.63
211,0.0,0.4,0.34
36,0.0,0.55,0.57
197,0.0,0.16,0.11
5,0.0,0.62,0.65
88,1.0,0.34,0.26
90,0.0,0.25,0.15
186,0.0,0.42,0.34
128,0.0,0.44,0.33
104,0.0,0.39,0.28
16,0.0,0.35,0.25
246,0.0,0.45,0.41
176,1.0,0.14,0.1
112,0.0,0.51,0.39
155,0.0,0.28,0.17
230,0.0,0.4,0.32
18,0.0,0.47,0.43
124,1.0,0.7,0.75
150,1.0,0.41,0.36
80,1.0,0.53,0.5
181,0.0,0.29,0.2
182,0.0,0.23,0.18
108,0.0,0.34,0.23
147,0.0,0.58,0.61
238,1.0,0.18,0.12
184,0.0,0.38,0.3
57,0.0,0.24,0.15
28,1.0,0.65,0.66
19,1.0,0.18,0.12
214,0.0,0.27,0.21
29,1.0,0.59,0.59
223,1.0,0.37,0.28
130,0.0,0.37,0.32
143,1.0,0.6,0.61
138,0.0,0.25,0.17
15,1.0,0.3,0.21
113,0.0,0.4,0.33
226,1.0,0.39,0.27
8,0.0,0.16,0.11
121,1.0,0.71,0.79
103,0.0,0.21,0.14
109,0.0,0.28,0.2
18,0.0,0.41,0.38
154,0.0,0.4,0.3
69,0.0,0.31,0.22
45,0.0,0.3,0.21
207,0.0,0.44,0.38
62,1.0,0.33,0.23
210,0.0,0.36,0.25
75,0.0,0.18,0.13
12,1.0,0.68,0.72
200,0.0,0.27,0.21
159,0.0,0.25,0.17
240,0.0,0.18,0.12
90,0.0,0.24,0.16
144,1.0,0.26,0.18
241,0.0,0.17,0.11
232,0.0,0.26,0.18
136,0.0,0.37,0.31
115,0.0,0.21,0.13
195,0.0,0.27,0.19
213,0.0,0.5,0.44
46,0.0,0.23,0.15
17,0.0,0.29,0.22
70,1.0,0.63,0.63
205,0.0,0.39,0.28
111,0.0,0.19,0.13
101,0.0,0.35,0.27
89,1.0,0.7,0.77
139,1.0,0.59,0.61
34,0.0,0.54,0.55
230,0.0,0.37,0.25
126,0.0,0.21,0.13
200,0.0,0.25,0.17
174,1.0,0.34,0.21
191,0.0,0.2,0.13
10,1.0,0.43,0.33
185,1.0,0.4,0.34
186,0.0,0.49,0.41
31,0.0,0.59,0.53
201,0.0,0.26,0.18
190,0.0,0.49,0.46
221,1.0,0.27,0.2
151,0.0,0.25,0.19
51,1.0,0.29,0.2
17,0.0,0.24,0.15
205,0.0,0.27,0.2
70,1.0,0.55,0.5
210,0.0,0.44,0.33
241,0.0,0.19,0.11
135,1.0,0.61,0.63
35,1.0,0.36,0.23
89,1.0,0.7,0.78
154,0.0,0.44,0.36
0,0.0,0.44,0.3
146,0.0,0.18,0.11
172,0.0,0.33,0.22
113,0.0,0.39,0.3
118,0.0,0.46,0.36
129,0.0,0.35,0.23
232,0.0,0.25,0.15
199,0.0,0.24,0.17
27,0.0,0.37,0.29
52,0.0,0.2,0.13
95,0.0,0.34,0.26
223,1.0,0.38,0.32
56,0.0,0.54,0.48
22,1.0,0.54,0.52
183,0.0,0.23,0.14
16,0.0,0.43,0.36
66,0.0,0.33,0.23
244,0.0,0.18,0.11
39,0.0,0.33,0.21
160,0.0,0.17,0.11
206,1.0,0.34,0.27
13,1.0,0.62,0.62
229,0.0,0.35,0.28
226,1.0,0.34,0.22
45,0.0,0.34,0.25
179,0.0,0.3,0.22
89,1.0,0.78,0.75
121,1.0,0.75,0.71
234,1.0,0.23,0.17
199,0.0,0.28,0.21
191,0.0,0.19,0.15
135,1.0,0.66,0.64
28,1.0,0.68,0.66
71,1.0,0.69,0.66
243,1.0,0.36,0.32
88,1.0,0.43,0.41
96,0.0,0.27,0.2
220,1.0,0.21,0.17
100,0.0,0.25,0.2
229,0.0,0.38,0.31
227,0.0,0.29,0.22
145,0.0,0.35,0.26
213,0.0,0.33,0.26
178,0.0,0.12,0.12
119,0.0,0.4,0.32
204,1.0,0.2,0.16
146,0.0,0.16,0.13
185,1.0,0.39,0.33
108,0.0,0.35,0.29
98,0.0,0.28,0.22
235,0.0,0.23,0.18
161,1.0,0.14,0.12
212,0.0,0.24,0.18
36,0.0,0.65,0.64
102,0.0,0.2,0.16
152,0.0,0.25,0.19
193,0.0,0.52,0.5
50,1.0,0.73,0.71
125,0.0,0.12,0.11
68,0.0,0.72,0.66
226,1.0,0.33,0.25
211,0.0,0.33,0.25
181,0.0,0.19,0.15
26,0.0,0.43,0.39
92,0.0,0.46,0.38
171,0.0,0.21,0.16
37,0.0,0.36,0.29
45,0.0,0.37,0.3
46,0.0,0.2,0.15
221,1.0,0.25,0.21
177,0.0,0.26,0.19
111,0.0,0.23,0.18
47,0.0,0.3,0.24
2,0.0,0.51,0.43
162,0.0,0.13,0.12
221,1.0,0.37,0.32
88,1.0,0.38,0.28
61,1.0,0.68,0.72
135,1.0,0.65,0.65
50,1.0,0.65,0.66
229,0.0,0.41,0.31
231,0.0,0.19,0.13
163,0.0,0.19,0.13
126,0.0,0.21,0.14
199,0.0,0.3,0.23
73,0.0,0.2,0.13
11,0.0,0.26,0.18
239,0.0,0.32,0.27
236,0.0,0.28,0.19
109,0.0,0.27,0.2
71,1.0,0.64,0.64
224,0.0,0.42,0.37
62,1.0,0.24,0.18
32,0.0,0.17,0.12
40,0.0,0.29,0.21
52,0.0,0.22,0.15
0,0.0,0.39,0.33
189,0.0,0.25,0.19
41,0.0,0.41,0.41
238,1.0,0.19,0.13
169,0.0,0.21,0.15
233,0.0,0.26,0.18
98,0.0,0.29,0.23
104,0.0,0.31,0.24
94,0.0,0.21,0.14
21,0.0,0.45,0.4
172,0.0,0.3,0.23
164,0.0,0.37,0.31
26,0.0,0.51,0.46
120,1.0,0.23,0.16
160,0.0,0.17,0.12
29,1.0,0.55,0.55
158,0.0,0.27,0.18
80,1.0,0.51,0.44
181,0.0,0.23,0.16
127,1.0,0.59,0.54
53,1.0,0.61,0.61
85,0.0,0.31,0.24
161,1.0,0.2,0.14
114,0.0,0.45,0.36
203,0.0,0.38,0.32
214,0.0,0.25,0.2
65,0.0,0.19,0.13
122,1.0,0.26,0.18
168,0.0,0.24,0.19
43,0.0,0.47,0.4
136,0.0,0.29,0.23
19,1.0,0.18,0.12
239,0.0,0.35,0.23
158,0.0,0.23,0.16
4,0.0,0.36,0.23
98,0.0,0.32,0.19
225,0.0,0.23,0.15
125,0.0,0.14,0.11
164,0.0,0.42,0.36
208,0.0,0.2,0.13
10,1.0,0.41,0.3
47,0.0,0.32,0.24
36,0.0,0.58,0.52
27,0.0,0.39,0.3
237,1.0,0.39,0.32
63,1.0,0.31,0.19
224,0.0,0.46,0.37
