idx,real y,probs_raw,probs_cal
207,0.0,0.07,0.11
12,1.0,0.9,0.86
144,1.0,0.39,0.35
128,0.0,0.51,0.48
96,1.0,0.51,0.6
72,0.0,0.23,0.19
105,1.0,0.38,0.34
244,0.0,0.33,0.27
10,0.0,0.44,0.39
133,1.0,0.65,0.7
142,0.0,0.63,0.65
125,0.0,0.33,0.26
23,1.0,0.63,0.66
94,0.0,0.33,0.26
234,0.0,0.02,0.09
22,0.0,0.57,0.54
223,0.0,0.37,0.32
123,1.0,0.7,0.74
121,1.0,0.81,0.78
33,1.0,0.62,0.65
86,1.0,0.35,0.26
202,0.0,0.07,0.11
221,0.0,0.02,0.09
179,0.0,0.36,0.31
190,1.0,0.69,0.71
204,0.0,0.07,0.11
5,1.0,0.73,0.75
106,1.0,0.57,0.5
43,1.0,0.74,0.78
67,0.0,0.62,0.65
112,0.0,0.34,0.28
203,0.0,0.25,0.19
36,1.0,0.48,0.42
127,1.0,0.85,0.83
189,0.0,0.33,0.26
8,1.0,0.38,0.34
197,0.0,0.33,0.26
166,1.0,0.6,0.61
185,1.0,0.83,0.8
109,1.0,0.77,0.8
165,0.0,0.33,0.25
122,1.0,0.64,0.66
177,0.0,0.57,0.55
76,0.0,0.56,0.56
13,1.0,0.71,0.72
218,0.0,0.39,0.29
0,1.0,0.76,0.78
85,0.0,0.52,0.5
175,0.0,0.57,0.52
228,0.0,0.33,0.25
197,0.0,0.14,0.12
86,1.0,0.16,0.17
5,1.0,0.72,0.77
23,1.0,0.62,0.59
92,1.0,0.7,0.71
46,1.0,0.43,0.4
123,1.0,0.62,0.66
19,1.0,0.19,0.18
73,0.0,0.58,0.6
71,1.0,0.66,0.69
175,0.0,0.41,0.4
203,0.0,0.08,0.1
121,1.0,0.69,0.72
15,0.0,0.56,0.62
62,0.0,0.84,0.86
68,1.0,0.94,0.9
241,0.0,0.21,0.18
126,0.0,0.32,0.26
191,0.0,0.12,0.13
215,0.0,0.17,0.15
156,1.0,0.1,0.13
178,1.0,0.07,0.1
182,0.0,0.26,0.24
31,0.0,0.25,0.26
69,0.0,0.2,0.19
101,1.0,0.38,0.39
236,0.0,0.14,0.13
42,1.0,0.71,0.71
10,0.0,0.54,0.53
239,0.0,0.56,0.56
143,1.0,0.65,0.68
127,1.0,0.75,0.79
27,1.0,0.36,0.3
179,0.0,0.26,0.26
20,1.0,0.57,0.56
116,0.0,0.16,0.15
196,0.0,0.15,0.14
167,0.0,0.27,0.26
6,1.0,0.88,0.86
202,0.0,0.06,0.09
237,1.0,0.47,0.48
245,0.0,0.28,0.25
22,0.0,0.56,0.57
217,0.0,0.01,0.08
98,1.0,0.42,0.42
185,1.0,0.63,0.69
238,0.0,0.5,0.49
235,0.0,0.28,0.25
140,1.0,0.85,0.86
183,0.0,0.12,0.14
52,0.0,0.59,0.64
214,0.0,0.13,0.13
231,0.0,0.23,0.14
73,0.0,0.56,0.6
4,1.0,0.31,0.29
59,1.0,0.81,0.82
91,1.0,0.55,0.6
15,0.0,0.57,0.65
228,0.0,0.15,0.14
33,1.0,0.52,0.53
0,1.0,0.71,0.78
196,0.0,0.24,0.19
50,0.0,0.52,0.6
242,0.0,0.53,0.48
143,1.0,0.67,0.69
55,1.0,0.57,0.63
45,1.0,0.5,0.6
36,1.0,0.43,0.41
175,0.0,0.58,0.54
53,0.0,0.24,0.19
223,0.0,0.27,0.22
186,1.0,0.58,0.64
68,1.0,0.85,0.88
165,0.0,0.14,0.15
65,1.0,0.39,0.31
104,1.0,0.49,0.51
198,0.0,0.18,0.16
154,1.0,0.53,0.57
24,0.0,0.49,0.42
153,0.0,0.21,0.15
83,0.0,0.69,0.79
20,1.0,0.66,0.72
22,0.0,0.71,0.75
217,0.0,0.09,0.09
27,1.0,0.39,0.41
9,0.0,0.61,0.63
56,1.0,0.5,0.59
81,1.0,0.63,0.63
173,1.0,0.75,0.83
163,0.0,0.39,0.3
100,1.0,0.47,0.46
243,0.0,0.42,0.36
31,0.0,0.51,0.47
75,0.0,0.68,0.72
54,0.0,0.54,0.58
32,1.0,0.62,0.65
144,1.0,0.62,0.67
148,0.0,0.32,0.33
166,1.0,0.43,0.42
176,0.0,0.43,0.38
187,0.0,0.25,0.27
203,0.0,0.29,0.23
106,1.0,0.54,0.5
223,0.0,0.36,0.3
192,0.0,0.67,0.65
46,1.0,0.4,0.27
169,1.0,0.47,0.44
42,1.0,0.57,0.56
166,1.0,0.58,0.54
63,1.0,0.53,0.53
10,0.0,0.46,0.39
121,1.0,0.89,0.77
221,0.0,0.05,0.14
188,0.0,0.09,0.16
246,0.0,0.55,0.49
191,0.0,0.24,0.25
75,0.0,0.5,0.47
9,0.0,0.55,0.51
94,0.0,0.25,0.26
96,1.0,0.58,0.6
21,0.0,0.47,0.43
220,0.0,0.04,0.13
175,0.0,0.63,0.54
11,1.0,0.64,0.62
130,1.0,0.86,0.77
234,0.0,0.06,0.13
78,1.0,0.66,0.63
102,1.0,0.49,0.46
85,0.0,0.51,0.46
151,1.0,0.45,0.4
159,1.0,0.46,0.42
76,0.0,0.52,0.51
163,0.0,0.23,0.24
154,1.0,0.66,0.63
60,1.0,0.52,0.46
218,0.0,0.43,0.36
232,0.0,0.42,0.33
196,0.0,0.08,0.15
184,0.0,0.54,0.44
157,0.0,0.25,0.26
14,1.0,0.74,0.71
222,0.0,0.34,0.27
28,0.0,0.7,0.69
171,0.0,0.54,0.52
48,1.0,0.62,0.61
71,1.0,0.62,0.55
139,1.0,0.92,0.84
110,1.0,0.41,0.3
39,1.0,0.55,0.49
129,1.0,0.55,0.51
164,0.0,0.56,0.54
