idx,real y,probs_raw,probs_cal
207,0.0,0.31,0.17
12,1.0,0.82,0.93
144,1.0,0.41,0.31
128,0.0,0.42,0.34
96,1.0,0.46,0.43
72,0.0,0.47,0.44
105,1.0,0.39,0.28
244,0.0,0.4,0.3
10,0.0,0.44,0.38
133,1.0,0.54,0.58
142,0.0,0.57,0.65
125,0.0,0.34,0.21
23,1.0,0.57,0.64
94,0.0,0.45,0.39
234,0.0,0.27,0.13
22,0.0,0.65,0.75
223,0.0,0.39,0.27
123,1.0,0.82,0.93
121,1.0,0.89,0.97
33,1.0,0.57,0.63
86,1.0,0.37,0.25
202,0.0,0.36,0.23
221,0.0,0.26,0.12
179,0.0,0.36,0.23
190,1.0,0.68,0.8
204,0.0,0.29,0.15
5,1.0,0.71,0.84
106,1.0,0.52,0.52
43,1.0,0.77,0.89
67,0.0,0.6,0.7
112,0.0,0.5,0.51
203,0.0,0.31,0.17
36,1.0,0.54,0.58
127,1.0,0.69,0.82
189,0.0,0.4,0.31
8,1.0,0.46,0.4
197,0.0,0.3,0.15
166,1.0,0.46,0.42
185,1.0,0.69,0.81
109,1.0,0.63,0.73
165,0.0,0.46,0.42
122,1.0,0.51,0.52
177,0.0,0.48,0.46
76,0.0,0.53,0.56
13,1.0,0.69,0.82
218,0.0,0.39,0.28
0,1.0,0.75,0.87
85,0.0,0.41,0.32
175,0.0,0.58,0.66
228,0.0,0.3,0.15
197,0.0,0.19,0.16
86,1.0,0.23,0.2
5,1.0,0.85,0.87
23,1.0,0.6,0.59
92,1.0,0.66,0.65
46,1.0,0.34,0.31
123,1.0,0.9,0.92
19,1.0,0.46,0.44
73,0.0,0.4,0.36
71,1.0,0.9,0.91
175,0.0,0.5,0.49
203,0.0,0.14,0.12
121,1.0,0.92,0.94
15,0.0,0.7,0.71
62,0.0,0.69,0.67
68,1.0,0.93,0.93
241,0.0,0.33,0.31
126,0.0,0.25,0.22
191,0.0,0.43,0.41
215,0.0,0.22,0.19
156,1.0,0.35,0.33
178,1.0,0.13,0.11
182,0.0,0.25,0.22
31,0.0,0.4,0.38
69,0.0,0.3,0.27
101,1.0,0.42,0.38
236,0.0,0.21,0.2
42,1.0,0.59,0.57
10,0.0,0.29,0.26
239,0.0,0.44,0.43
143,1.0,0.76,0.76
127,1.0,0.75,0.75
27,1.0,0.32,0.29
179,0.0,0.26,0.23
20,1.0,0.47,0.46
116,0.0,0.17,0.15
196,0.0,0.11,0.09
167,0.0,0.4,0.38
6,1.0,0.94,0.94
202,0.0,0.25,0.22
237,1.0,0.44,0.4
245,0.0,0.18,0.16
22,0.0,0.65,0.62
217,0.0,0.13,0.11
98,1.0,0.56,0.55
185,1.0,0.73,0.74
238,0.0,0.5,0.47
235,0.0,0.29,0.26
140,1.0,0.92,0.93
183,0.0,0.46,0.44
52,0.0,0.63,0.7
214,0.0,0.25,0.15
231,0.0,0.23,0.14
73,0.0,0.41,0.36
4,1.0,0.51,0.54
59,1.0,0.81,0.89
91,1.0,0.89,0.93
15,0.0,0.68,0.76
228,0.0,0.2,0.11
33,1.0,0.55,0.6
