idx,real y,probs_raw,probs_cal
207,0.0,0.14,0.18
12,1.0,0.96,0.92
144,1.0,0.26,0.3
128,0.0,0.39,0.4
96,1.0,0.41,0.48
72,0.0,0.36,0.39
105,1.0,0.24,0.27
244,0.0,0.29,0.32
10,0.0,0.38,0.38
133,1.0,0.63,0.62
142,0.0,0.6,0.58
125,0.0,0.15,0.2
23,1.0,0.54,0.55
94,0.0,0.43,0.43
234,0.0,0.1,0.15
22,0.0,0.77,0.73
223,0.0,0.32,0.34
123,1.0,0.93,0.88
121,1.0,0.97,0.93
33,1.0,0.52,0.54
86,1.0,0.22,0.25
202,0.0,0.18,0.22
221,0.0,0.08,0.13
179,0.0,0.18,0.24
190,1.0,0.83,0.79
204,0.0,0.08,0.14
5,1.0,0.79,0.78
106,1.0,0.54,0.52
43,1.0,0.94,0.88
67,0.0,0.69,0.66
112,0.0,0.52,0.51
203,0.0,0.11,0.18
36,1.0,0.51,0.5
127,1.0,0.82,0.77
189,0.0,0.25,0.29
8,1.0,0.5,0.48
197,0.0,0.08,0.14
166,1.0,0.32,0.38
185,1.0,0.82,0.78
109,1.0,0.85,0.8
165,0.0,0.46,0.46
122,1.0,0.62,0.59
177,0.0,0.45,0.47
76,0.0,0.59,0.55
13,1.0,0.84,0.79
218,0.0,0.27,0.3
0,1.0,0.92,0.86
85,0.0,0.17,0.24
175,0.0,0.65,0.62
228,0.0,0.16,0.19
197,0.0,0.12,0.15
86,1.0,0.17,0.22
5,1.0,0.92,0.88
23,1.0,0.51,0.51
92,1.0,0.65,0.62
46,1.0,0.24,0.29
123,1.0,0.92,0.9
19,1.0,0.34,0.41
73,0.0,0.31,0.35
71,1.0,0.96,0.92
175,0.0,0.42,0.43
203,0.0,0.11,0.15
121,1.0,0.94,0.91
15,0.0,0.74,0.73
62,0.0,0.75,0.72
68,1.0,0.95,0.92
241,0.0,0.31,0.37
126,0.0,0.16,0.21
191,0.0,0.35,0.4
215,0.0,0.2,0.22
156,1.0,0.24,0.3
178,1.0,0.07,0.1
182,0.0,0.16,0.2
31,0.0,0.29,0.32
69,0.0,0.22,0.26
101,1.0,0.35,0.36
236,0.0,0.17,0.22
42,1.0,0.51,0.53
10,0.0,0.23,0.26
239,0.0,0.46,0.45
