idx,real y,probs_raw,probs_cal
207,0.0,0.07,0.18
12,1.0,0.88,0.79
144,1.0,0.06,0.21
128,0.0,0.25,0.29
96,1.0,0.38,0.51
72,0.0,0.58,0.39
105,1.0,0.16,0.28
244,0.0,0.22,0.3
10,0.0,0.15,0.28
133,1.0,0.77,0.74
142,0.0,0.65,0.58
125,0.0,0.26,0.31
23,1.0,0.46,0.5
94,0.0,0.39,0.52
234,0.0,0.03,0.18
22,0.0,0.67,0.54
223,0.0,0.13,0.2
123,1.0,0.86,0.77
121,1.0,0.77,0.67
33,1.0,0.68,0.69
86,1.0,0.12,0.24
202,0.0,0.09,0.24
221,0.0,0.02,0.16
179,0.0,0.05,0.17
190,1.0,0.7,0.71
204,0.0,0.07,0.17
5,1.0,0.9,0.79
106,1.0,0.72,0.67
43,1.0,0.86,0.76
67,0.0,0.56,0.61
112,0.0,0.36,0.5
203,0.0,0.03,0.16
36,1.0,0.21,0.33
127,1.0,0.91,0.8
189,0.0,0.18,0.31
8,1.0,0.27,0.35
197,0.0,0.11,0.19
166,1.0,0.74,0.57
185,1.0,0.78,0.73
109,1.0,0.89,0.8
165,0.0,0.41,0.52
122,1.0,0.83,0.72
177,0.0,0.61,0.6
76,0.0,0.23,0.28
13,1.0,0.82,0.72
218,0.0,0.24,0.26
0,1.0,0.81,0.78
85,0.0,0.11,0.22
175,0.0,0.43,0.54
228,0.0,0.09,0.18
197,0.0,0.13,0.19
86,1.0,0.09,0.2
5,1.0,0.9,0.83
23,1.0,0.17,0.31
92,1.0,0.92,0.81
46,1.0,0.53,0.4
123,1.0,0.76,0.75
19,1.0,0.16,0.26
73,0.0,0.56,0.52
71,1.0,0.66,0.66
175,0.0,0.41,0.37
203,0.0,0.02,0.15
121,1.0,0.46,0.5
15,0.0,0.85,0.76
62,0.0,0.98,0.85
68,1.0,0.93,0.82
241,0.0,0.17,0.24
126,0.0,0.11,0.18
191,0.0,0.21,0.32
215,0.0,0.21,0.25
156,1.0,0.08,0.21
178,1.0,0.08,0.17
182,0.0,0.22,0.24
31,0.0,0.22,0.27
69,0.0,0.12,0.24
101,1.0,0.42,0.47
236,0.0,0.1,0.22
