idx,real y,probs_raw,probs_cal
15,0.0,0.5,0.45
197,0.0,0.22,0.2
220,0.0,0.25,0.21
26,1.0,0.75,0.67
74,0.0,0.33,0.29
160,0.0,0.21,0.2
88,0.0,0.32,0.28
205,0.0,0.26,0.22
177,0.0,0.39,0.34
199,0.0,0.24,0.23
241,0.0,0.24,0.23
65,1.0,0.26,0.22
96,1.0,0.77,0.66
11,1.0,0.87,0.75
155,1.0,0.82,0.73
47,0.0,0.26,0.23
13,0.0,0.84,0.71
8,0.0,0.26,0.26
71,0.0,0.97,0.81
44,0.0,0.25,0.2
0,1.0,0.93,0.78
198,0.0,0.21,0.19
135,1.0,0.5,0.41
170,1.0,0.66,0.61
212,0.0,0.26,0.24
83,1.0,0.41,0.38
17,0.0,0.24,0.2
66,0.0,0.45,0.35
202,0.0,0.26,0.22
9,1.0,0.41,0.33
37,1.0,0.45,0.44
52,0.0,0.3,0.26
128,1.0,0.29,0.25
161,1.0,0.24,0.2
57,1.0,0.25,0.23
157,0.0,0.24,0.23
115,0.0,0.26,0.24
185,1.0,0.87,0.76
107,1.0,0.83,0.73
222,0.0,0.29,0.25
162,0.0,0.24,0.22
246,0.0,0.36,0.28
102,1.0,0.91,0.75
214,0.0,0.15,0.15
124,1.0,0.67,0.59
91,1.0,0.85,0.71
146,1.0,0.21,0.17
162,0.0,0.26,0.21
86,0.0,0.21,0.17
236,0.0,0.15,0.16
182,0.0,0.26,0.23
8,0.0,0.3,0.24
165,0.0,0.25,0.22
44,0.0,0.19,0.18
145,1.0,0.35,0.34
57,1.0,0.28,0.26
198,0.0,0.19,0.17
240,0.0,0.15,0.15
48,0.0,0.82,0.7
233,1.0,0.19,0.18
68,1.0,0.9,0.78
235,0.0,0.19,0.17
127,1.0,0.83,0.73
197,0.0,0.19,0.17
49,1.0,0.39,0.33
189,0.0,0.25,0.22
10,0.0,0.37,0.31
157,0.0,0.26,0.22
200,0.0,0.27,0.25
94,0.0,0.25,0.22
81,1.0,0.89,0.77
232,0.0,0.39,0.37
230,0.0,0.19,0.15
231,0.0,0.15,0.14
216,0.0,0.15,0.14
96,1.0,0.58,0.51
51,0.0,0.28,0.23
158,1.0,0.26,0.23
39,1.0,0.43,0.37
166,1.0,0.42,0.34
175,0.0,0.49,0.42
65,1.0,0.27,0.22
244,0.0,0.26,0.22
62,1.0,0.37,0.31
19,0.0,0.89,0.74
11,1.0,0.62,0.55
161,1.0,0.17,0.14
209,0.0,0.18,0.15
241,0.0,0.21,0.16
136,0.0,0.36,0.3
156,0.0,0.93,0.86
95,1.0,0.45,0.4
16,1.0,0.39,0.35
47,0.0,0.28,0.23
8,0.0,0.26,0.2
37,1.0,0.42,0.35
139,1.0,0.96,0.88
218,0.0,0.27,0.2
224,0.0,0.22,0.16
0,1.0,0.97,0.87
5,0.0,0.95,0.88
38,1.0,0.42,0.4
19,0.0,0.94,0.85
189,0.0,0.22,0.19
194,0.0,0.21,0.17
22,0.0,0.34,0.29
164,0.0,0.36,0.3
89,1.0,0.85,0.68
155,1.0,0.95,0.87
56,0.0,0.88,0.81
158,1.0,0.26,0.22
44,0.0,0.2,0.17
35,1.0,0.53,0.48
168,1.0,0.21,0.17
171,1.0,0.33,0.3
4,0.0,0.9,0.75
165,0.0,0.21,0.18
17,0.0,0.23,0.21
214,0.0,0.22,0.17
42,0.0,0.45,0.39
74,0.0,0.29,0.23
159,0.0,0.26,0.21
75,1.0,0.3,0.25
148,0.0,0.22,0.18
63,0.0,0.4,0.33
118,1.0,0.83,0.67
28,1.0,0.57,0.54
204,1.0,0.19,0.16
45,0.0,0.94,0.86
143,1.0,0.57,0.52
65,1.0,0.13,0.14
159,0.0,0.3,0.23
178,0.0,0.1,0.12
148,0.0,0.13,0.14
110,1.0,0.31,0.22
169,1.0,0.83,0.68
246,0.0,0.39,0.32
74,0.0,0.33,0.25
166,1.0,0.47,0.4
222,0.0,0.36,0.27
152,0.0,0.33,0.23
168,1.0,0.14,0.15
223,0.0,0.33,0.24
56,0.0,0.81,0.74
38,1.0,0.56,0.5
0,1.0,0.98,0.83
230,0.0,0.3,0.21
182,0.0,0.34,0.19
109,1.0,0.87,0.77
68,1.0,0.89,0.77
5,0.0,0.86,0.78
54,0.0,0.56,0.5
84,1.0,0.86,0.78
198,0.0,0.1,0.12
221,0.0,0.14,0.14
8,0.0,0.14,0.15
217,0.0,0.1,0.13
161,1.0,0.13,0.14
21,0.0,0.35,0.29
15,0.0,0.49,0.45
134,0.0,0.97,0.82
71,0.0,0.97,0.82
75,1.0,0.35,0.28
177,0.0,0.52,0.45
61,1.0,0.9,0.8
179,0.0,0.34,0.25
219,0.0,0.35,0.26
188,0.0,0.13,0.14
181,0.0,0.1,0.12
139,1.0,0.88,0.78
135,1.0,0.61,0.55
40,1.0,0.46,0.37
125,0.0,0.24,0.2
238,0.0,0.28,0.25
243,0.0,0.31,0.24
158,1.0,0.29,0.24
160,0.0,0.21,0.17
48,0.0,0.9,0.75
41,1.0,0.6,0.5
12,1.0,0.58,0.47
30,1.0,0.63,0.52
118,1.0,0.9,0.71
191,0.0,0.22,0.19
47,0.0,0.25,0.2
123,1.0,0.71,0.61
69,0.0,0.35,0.27
140,1.0,0.8,0.74
15,0.0,0.53,0.43
180,0.0,0.2,0.17
143,1.0,0.58,0.5
162,0.0,0.23,0.19
232,0.0,0.54,0.44
37,1.0,0.39,0.35
80,0.0,0.32,0.26
227,0.0,0.3,0.22
46,0.0,0.17,0.16
6,1.0,0.91,0.75
91,1.0,0.82,0.71
220,0.0,0.17,0.17
166,1.0,0.42,0.34
234,0.0,0.17,0.17
214,0.0,0.16,0.16
50,0.0,0.53,0.42
207,0.0,0.27,0.21
24,0.0,0.49,0.37
151,0.0,0.22,0.18
26,1.0,0.81,0.73
231,0.0,0.14,0.14
219,0.0,0.25,0.23
113,1.0,0.41,0.32
135,1.0,0.57,0.48
198,0.0,0.16,0.16
174,1.0,0.27,0.21
146,1.0,0.21,0.18
215,0.0,0.21,0.18
48,0.0,0.81,0.57
77,0.0,0.44,0.34
131,0.0,0.58,0.46
232,0.0,0.63,0.54
83,1.0,0.33,0.32
33,0.0,0.41,0.38
236,0.0,0.29,0.3
133,1.0,0.76,0.65
140,1.0,0.84,0.7
61,1.0,0.81,0.7
26,1.0,0.79,0.68
7,1.0,0.82,0.7
122,1.0,0.27,0.27
119,1.0,0.46,0.39
63,0.0,0.56,0.47
106,1.0,0.78,0.62
0,1.0,0.78,0.7
178,0.0,0.19,0.22
50,0.0,0.6,0.51
239,0.0,0.39,0.36
185,1.0,0.8,0.67
188,0.0,0.19,0.24
73,0.0,0.45,0.37
44,0.0,0.44,0.34
183,0.0,0.2,0.24
177,0.0,0.28,0.28
65,1.0,0.45,0.37
88,0.0,0.53,0.43
216,0.0,0.43,0.34
192,1.0,0.71,0.62
202,0.0,0.45,0.36
244,0.0,0.45,0.36
37,1.0,0.28,0.28
28,1.0,0.68,0.58
181,0.0,0.18,0.22
199,0.0,0.18,0.22
92,1.0,0.79,0.62
117,0.0,0.57,0.46
242,0.0,0.58,0.48
212,0.0,0.42,0.34
241,0.0,0.18,0.23
149,0.0,0.31,0.31
135,1.0,0.41,0.37
228,0.0,0.31,0.29
46,0.0,0.18,0.22
136,0.0,0.18,0.21
135,1.0,0.56,0.5
53,0.0,0.16,0.19
179,0.0,0.06,0.16
148,0.0,0.22,0.24
230,0.0,0.08,0.17
59,1.0,0.75,0.71
106,1.0,0.63,0.61
80,0.0,0.36,0.38
32,0.0,0.13,0.18
217,0.0,0.09,0.16
57,1.0,0.23,0.25
200,0.0,0.43,0.37
220,0.0,0.2,0.21
189,0.0,0.24,0.27
40,1.0,0.27,0.34
206,0.0,0.02,0.13
28,1.0,0.49,0.44
145,1.0,0.2,0.25
146,1.0,0.04,0.15
