idx,real y,probs_raw,probs_cal
15,0.0,0.76,0.67
197,0.0,0.14,0.23
220,0.0,0.08,0.2
26,1.0,0.57,0.58
74,0.0,0.12,0.21
160,0.0,0.01,0.17
88,0.0,0.16,0.27
205,0.0,0.46,0.36
177,0.0,0.75,0.61
199,0.0,0.06,0.21
241,0.0,0.07,0.19
65,1.0,0.03,0.17
96,1.0,0.39,0.38
11,1.0,0.96,0.77
155,1.0,0.91,0.75
47,0.0,0.04,0.17
13,0.0,0.96,0.78
8,0.0,0.16,0.24
71,0.0,0.97,0.78
44,0.0,0.06,0.2
0,1.0,0.88,0.72
198,0.0,0.03,0.18
135,1.0,0.56,0.55
170,1.0,0.56,0.51
212,0.0,0.03,0.17
83,1.0,0.14,0.21
17,0.0,0.09,0.22
66,0.0,0.5,0.46
202,0.0,0.05,0.2
9,1.0,0.26,0.32
37,1.0,0.71,0.64
52,0.0,0.02,0.17
128,1.0,0.01,0.16
161,1.0,0.04,0.17
57,1.0,0.14,0.23
157,0.0,0.42,0.36
115,0.0,0.05,0.18
185,1.0,0.79,0.65
107,1.0,0.93,0.74
222,0.0,0.03,0.17
162,0.0,0.06,0.18
246,0.0,0.05,0.19
102,1.0,0.53,0.46
214,0.0,0.3,0.22
124,1.0,0.79,0.58
91,1.0,0.87,0.71
146,1.0,0.2,0.17
162,0.0,0.28,0.22
86,0.0,0.12,0.15
236,0.0,0.25,0.22
182,0.0,0.29,0.2
8,0.0,0.45,0.36
165,0.0,0.19,0.16
44,0.0,0.23,0.16
145,1.0,0.29,0.21
57,1.0,0.22,0.22
198,0.0,0.15,0.16
240,0.0,0.27,0.21
48,0.0,0.7,0.59
233,1.0,0.22,0.28
68,1.0,0.91,0.72
235,0.0,0.12,0.14
127,1.0,0.74,0.59
197,0.0,0.37,0.24
49,1.0,0.66,0.4
189,0.0,0.35,0.22
10,0.0,0.38,0.28
157,0.0,0.38,0.26
200,0.0,0.42,0.29
94,0.0,0.24,0.19
81,1.0,0.78,0.58
232,0.0,0.41,0.27
230,0.0,0.18,0.15
231,0.0,0.23,0.16
216,0.0,0.16,0.15
96,1.0,0.56,0.43
51,0.0,0.22,0.21
158,1.0,0.28,0.18
39,1.0,0.73,0.6
166,1.0,0.54,0.43
175,0.0,0.56,0.44
65,1.0,0.17,0.18
244,0.0,0.36,0.21
62,1.0,0.58,0.49
19,0.0,0.53,0.38
11,1.0,0.83,0.68
161,1.0,0.33,0.14
209,0.0,0.32,0.14
241,0.0,0.4,0.16
136,0.0,0.67,0.51
156,0.0,0.77,0.63
95,1.0,0.74,0.67
16,1.0,0.72,0.56
47,0.0,0.36,0.21
8,0.0,0.44,0.29
37,1.0,0.72,0.62
139,1.0,0.85,0.78
218,0.0,0.29,0.12
224,0.0,0.3,0.14
0,1.0,0.85,0.77
5,0.0,0.86,0.77
38,1.0,0.44,0.34
19,0.0,0.78,0.66
189,0.0,0.57,0.38
194,0.0,0.43,0.19
22,0.0,0.39,0.24
164,0.0,0.61,0.44
89,1.0,0.83,0.74
155,1.0,0.85,0.77
56,0.0,0.84,0.77
158,1.0,0.33,0.15
44,0.0,0.36,0.18
35,1.0,0.72,0.59
168,1.0,0.29,0.12
171,1.0,0.38,0.24
4,0.0,0.84,0.78
165,0.0,0.29,0.11
17,0.0,0.47,0.28
214,0.0,0.45,0.22
42,0.0,0.66,0.5
74,0.0,0.29,0.16
159,0.0,0.28,0.12
75,1.0,0.44,0.33
148,0.0,0.38,0.2
63,0.0,0.44,0.28
118,1.0,0.81,0.73
28,1.0,0.71,0.66
204,1.0,0.31,0.14
45,0.0,0.85,0.77
143,1.0,0.92,0.75
65,1.0,0.05,0.17
159,0.0,0.06,0.17
178,0.0,0.06,0.17
148,0.0,0.16,0.21
110,1.0,0.13,0.2
169,1.0,0.31,0.41
246,0.0,0.1,0.23
74,0.0,0.08,0.19
166,1.0,0.45,0.46
222,0.0,0.06,0.19
152,0.0,0.12,0.21
168,1.0,0.08,0.19
223,0.0,0.05,0.18
56,0.0,0.88,0.76
38,1.0,0.89,0.75
0,1.0,0.92,0.78
230,0.0,0.04,0.16
182,0.0,0.15,0.2
109,1.0,0.91,0.75
68,1.0,0.87,0.75
5,0.0,0.87,0.75
54,0.0,0.86,0.73
84,1.0,0.77,0.7
198,0.0,0.02,0.16
221,0.0,0.05,0.17
8,0.0,0.19,0.22
217,0.0,0.09,0.2
161,1.0,0.15,0.21
21,0.0,0.19,0.27
15,0.0,0.83,0.76
134,0.0,0.89,0.78
71,0.0,0.82,0.7
75,1.0,0.18,0.27
177,0.0,0.77,0.62
61,1.0,0.86,0.76
179,0.0,0.08,0.17
219,0.0,0.19,0.28
188,0.0,0.1,0.18
181,0.0,0.13,0.21
139,1.0,0.94,0.79
135,1.0,0.85,0.71
40,1.0,0.44,0.32
125,0.0,0.36,0.2
238,0.0,0.46,0.3
243,0.0,0.21,0.13
158,1.0,0.28,0.19
160,0.0,0.15,0.11
48,0.0,0.71,0.54
41,1.0,0.83,0.68
12,1.0,0.75,0.64
30,1.0,0.76,0.6
118,1.0,0.81,0.71
191,0.0,0.17,0.11
47,0.0,0.12,0.11
123,1.0,0.72,0.61
69,0.0,0.6,0.28
140,1.0,0.87,0.75
15,0.0,0.83,0.73
180,0.0,0.13,0.1
143,1.0,0.76,0.66
162,0.0,0.27,0.15
232,0.0,0.42,0.26
37,1.0,0.84,0.71
80,0.0,0.29,0.21
227,0.0,0.23,0.13
46,0.0,0.27,0.13
6,1.0,0.88,0.76
91,1.0,0.84,0.73
220,0.0,0.29,0.13
166,1.0,0.56,0.42
234,0.0,0.31,0.15
214,0.0,0.26,0.18
50,0.0,0.59,0.48
207,0.0,0.38,0.24
24,0.0,0.81,0.6
151,0.0,0.18,0.1
26,1.0,0.88,0.75
231,0.0,0.19,0.14
219,0.0,0.41,0.22
113,1.0,0.57,0.37
135,1.0,0.82,0.69
198,0.0,0.2,0.11
174,1.0,0.36,0.21
146,1.0,0.11,0.1
215,0.0,0.19,0.16
48,0.0,0.8,0.66
77,0.0,0.31,0.23
131,0.0,0.56,0.36
232,0.0,0.64,0.36
83,1.0,0.37,0.29
33,0.0,0.82,0.68
236,0.0,0.46,0.38
133,1.0,0.45,0.35
140,1.0,0.9,0.73
61,1.0,0.9,0.74
26,1.0,0.85,0.71
7,1.0,0.77,0.67
122,1.0,0.64,0.51
119,1.0,0.58,0.52
63,0.0,0.6,0.51
106,1.0,0.88,0.73
0,1.0,0.83,0.7
178,0.0,0.31,0.21
50,0.0,0.7,0.41
239,0.0,0.76,0.57
185,1.0,0.63,0.5
188,0.0,0.39,0.26
73,0.0,0.61,0.43
44,0.0,0.23,0.24
183,0.0,0.33,0.28
177,0.0,0.73,0.54
65,1.0,0.41,0.25
88,0.0,0.61,0.43
216,0.0,0.23,0.18
192,1.0,0.84,0.72
202,0.0,0.31,0.29
244,0.0,0.35,0.36
37,1.0,0.79,0.62
28,1.0,0.74,0.65
181,0.0,0.19,0.19
199,0.0,0.21,0.15
92,1.0,0.8,0.67
117,0.0,0.36,0.26
242,0.0,0.69,0.58
212,0.0,0.14,0.14
241,0.0,0.32,0.22
149,0.0,0.43,0.3
135,1.0,0.74,0.66
228,0.0,0.38,0.19
46,0.0,0.32,0.17
136,0.0,0.66,0.49
135,1.0,0.74,0.56
53,0.0,0.3,0.15
179,0.0,0.24,0.12
148,0.0,0.41,0.24
230,0.0,0.3,0.14
59,1.0,0.76,0.67
106,1.0,0.82,0.7
80,0.0,0.49,0.38
32,0.0,0.41,0.22
217,0.0,0.26,0.13
57,1.0,0.35,0.2
200,0.0,0.44,0.26
220,0.0,0.31,0.17
189,0.0,0.39,0.28
40,1.0,0.69,0.49
206,0.0,0.28,0.14
28,1.0,0.71,0.51
145,1.0,0.47,0.26
146,1.0,0.26,0.14
162,0.0,0.32,0.17
103,1.0,0.83,0.7
109,1.0,0.85,0.73
186,0.0,0.75,0.56
123,1.0,0.71,0.59
245,0.0,0.44,0.29
194,0.0,0.23,0.12
55,0.0,0.59,0.42
44,0.0,0.29,0.15
130,1.0,0.82,0.7
36,1.0,0.76,0.64
197,0.0,0.39,0.23
75,1.0,0.49,0.3
1,1.0,0.54,0.39
73,0.0,0.39,0.23
158,1.0,0.31,0.16
0,1.0,0.82,0.71
101,0.0,0.56,0.33
24,0.0,0.68,0.52
4,0.0,0.83,0.72
85,0.0,0.52,0.42
69,0.0,0.58,0.34
101,0.0,0.37,0.26
33,0.0,0.86,0.69
246,0.0,0.33,0.25
196,0.0,0.24,0.2
133,1.0,0.67,0.44
169,1.0,0.39,0.26
38,1.0,0.73,0.42
192,1.0,0.83,0.64
98,1.0,0.82,0.67
77,0.0,0.25,0.15
117,0.0,0.48,0.31
44,0.0,0.24,0.16
96,1.0,0.54,0.4
217,0.0,0.27,0.17
53,0.0,0.44,0.23
174,1.0,0.27,0.17
110,1.0,0.29,0.17
231,0.0,0.21,0.14
61,1.0,0.78,0.63
80,0.0,0.43,0.32
27,0.0,0.22,0.12
210,0.0,0.17,0.12
201,0.0,0.3,0.19
15,0.0,0.86,0.73
147,1.0,0.87,0.72
228,0.0,0.22,0.15
232,0.0,0.45,0.17
116,0.0,0.33,0.19
221,0.0,0.13,0.13
208,0.0,0.53,0.35
12,1.0,0.79,0.53
183,0.0,0.22,0.14
72,1.0,0.62,0.5
153,0.0,0.24,0.17
36,1.0,0.78,0.67
40,1.0,0.58,0.34
165,0.0,0.23,0.13
65,1.0,0.26,0.15
85,0.0,0.4,0.33
2,1.0,0.91,0.72
171,1.0,0.42,0.33
141,0.0,0.6,0.42
115,0.0,0.26,0.21
156,0.0,0.58,0.35
1,1.0,0.64,0.47
94,0.0,0.37,0.21
164,0.0,0.35,0.2
173,1.0,0.84,0.75
103,1.0,0.82,0.73
11,1.0,0.85,0.69
210,0.0,0.13,0.1
70,1.0,0.5,0.3
32,0.0,0.53,0.35
185,1.0,0.82,0.68
240,0.0,0.48,0.33
181,0.0,0.21,0.15
174,1.0,0.41,0.25
207,0.0,0.49,0.27
9,1.0,0.36,0.26
39,1.0,0.75,0.55
217,0.0,0.19,0.13
141,0.0,0.51,0.35
191,0.0,0.26,0.14
33,0.0,0.74,0.64
61,1.0,0.79,0.69
243,0.0,0.27,0.19
72,1.0,0.58,0.42
59,1.0,0.83,0.67
