idx,real y,probs_raw,probs_cal
157,0.0,0.22,0.18
232,0.0,0.39,0.37
225,0.0,0.14,0.14
240,0.0,0.13,0.13
111,0.0,0.11,0.13
227,0.0,0.3,0.28
181,0.0,0.13,0.14
56,0.0,0.41,0.42
76,0.0,0.48,0.49
207,0.0,0.27,0.27
118,0.0,0.36,0.33
10,1.0,0.44,0.42
176,1.0,0.12,0.12
124,1.0,0.63,0.66
188,0.0,0.18,0.18
119,0.0,0.39,0.4
235,0.0,0.16,0.19
213,0.0,0.41,0.4
78,0.0,0.5,0.48
3,0.0,0.57,0.53
52,0.0,0.08,0.11
14,1.0,0.7,0.71
7,0.0,0.31,0.27
58,0.0,0.49,0.5
88,1.0,0.42,0.37
163,0.0,0.09,0.11
221,1.0,0.36,0.34
137,0.0,0.19,0.17
67,0.0,0.52,0.53
39,0.0,0.23,0.18
13,1.0,0.63,0.7
223,1.0,0.36,0.35
33,0.0,0.31,0.27
55,1.0,0.52,0.53
186,0.0,0.39,0.33
134,1.0,0.6,0.63
182,0.0,0.15,0.14
193,0.0,0.45,0.38
143,1.0,0.57,0.56
60,1.0,0.36,0.34
151,0.0,0.16,0.16
92,0.0,0.37,0.34
158,0.0,0.17,0.16
161,1.0,0.14,0.14
3,0.0,0.51,0.35
236,0.0,0.33,0.22
44,0.0,0.24,0.15
178,0.0,0.2,0.15
98,0.0,0.45,0.3
226,1.0,0.33,0.22
197,0.0,0.2,0.15
154,0.0,0.45,0.32
133,1.0,0.46,0.29
233,0.0,0.47,0.26
152,0.0,0.33,0.21
99,1.0,0.81,0.65
8,0.0,0.17,0.15
244,0.0,0.22,0.15
86,1.0,0.44,0.3
230,0.0,0.43,0.27
51,1.0,0.35,0.24
157,0.0,0.23,0.16
20,1.0,0.75,0.63
146,0.0,0.2,0.16
16,0.0,0.47,0.31
75,0.0,0.25,0.2
59,1.0,0.62,0.47
56,0.0,0.54,0.45
48,1.0,0.53,0.38
108,0.0,0.32,0.24
129,0.0,0.35,0.27
212,0.0,0.43,0.28
81,0.0,0.46,0.28
149,0.0,0.32,0.2
221,1.0,0.41,0.27
180,0.0,0.28,0.17
42,0.0,0.48,0.33
134,1.0,0.66,0.52
10,1.0,0.52,0.36
175,1.0,0.66,0.51
214,0.0,0.36,0.25
17,0.0,0.43,0.26
126,0.0,0.23,0.16
64,1.0,0.36,0.25
201,0.0,0.38,0.24
115,0.0,0.26,0.16
94,0.0,0.29,0.21
83,0.0,0.51,0.39
36,0.0,0.61,0.52
