idx,real y,probs_raw,probs_cal
27,1.0,0.28,0.28
238,0.0,0.5,0.54
58,1.0,0.77,0.73
45,1.0,0.72,0.68
79,0.0,0.53,0.46
70,1.0,0.77,0.69
162,0.0,0.38,0.4
28,0.0,0.92,0.85
200,0.0,0.11,0.16
114,0.0,0.41,0.47
214,0.0,0.14,0.2
136,0.0,0.39,0.41
153,0.0,0.18,0.21
57,1.0,0.42,0.41
24,0.0,0.53,0.5
236,0.0,0.15,0.2
44,1.0,0.28,0.32
7,1.0,0.66,0.64
239,0.0,0.54,0.52
163,0.0,0.29,0.34
170,1.0,0.5,0.53
34,1.0,0.97,0.91
126,0.0,0.25,0.31
95,1.0,0.77,0.73
143,1.0,0.8,0.76
135,1.0,0.84,0.77
205,0.0,0.1,0.16
138,0.0,0.35,0.33
98,1.0,0.65,0.64
91,1.0,0.96,0.9
16,1.0,0.47,0.51
21,0.0,0.29,0.32
206,0.0,0.1,0.15
50,0.0,0.55,0.46
81,1.0,0.59,0.59
15,0.0,0.77,0.73
75,0.0,0.63,0.65
61,1.0,0.99,0.96
135,1.0,0.63,0.68
103,1.0,0.73,0.72
38,0.0,0.75,0.75
7,1.0,0.53,0.56
228,0.0,0.15,0.16
216,0.0,0.24,0.26
195,0.0,0.41,0.45
99,1.0,0.97,0.93
34,1.0,0.97,0.93
30,1.0,0.7,0.73
207,0.0,0.29,0.28
17,0.0,0.17,0.23
14,1.0,0.87,0.86
44,1.0,0.17,0.2
153,0.0,0.14,0.15
209,0.0,0.14,0.19
240,0.0,0.24,0.27
113,1.0,0.41,0.4
174,1.0,0.08,0.12
204,0.0,0.25,0.29
144,1.0,0.31,0.35
100,1.0,0.57,0.6
11,1.0,0.56,0.6
229,0.0,0.25,0.26
199,0.0,0.03,0.06
234,0.0,0.15,0.15
226,0.0,0.11,0.14
227,0.0,0.17,0.17
90,1.0,0.51,0.55
146,0.0,0.14,0.18
82,0.0,0.85,0.84
104,1.0,0.54,0.56
172,0.0,0.5,0.53
61,1.0,1.0,0.99
93,0.0,0.01,0.03
4,1.0,0.53,0.55
21,0.0,0.41,0.45
232,0.0,0.2,0.27
168,1.0,0.15,0.19
112,0.0,0.47,0.52
47,0.0,0.23,0.27
72,0.0,0.48,0.48
26,1.0,0.79,0.8
201,0.0,0.06,0.09
92,1.0,0.66,0.68
240,0.0,0.24,0.26
205,0.0,0.13,0.16
107,1.0,0.68,0.7
62,0.0,0.71,0.71
185,1.0,0.76,0.78
35,1.0,0.73,0.72
119,1.0,0.32,0.32
89,1.0,0.96,0.94
61,1.0,0.95,0.93
241,0.0,0.45,0.45
76,0.0,0.39,0.43
224,0.0,0.09,0.13
77,0.0,0.33,0.34
126,0.0,0.18,0.22
151,1.0,0.3,0.32
189,0.0,0.29,0.32
155,1.0,0.74,0.73
122,1.0,0.53,0.57
79,0.0,0.49,0.51
95,1.0,0.73,0.74
17,0.0,0.28,0.31
115,0.0,0.26,0.26
147,1.0,0.9,0.87
199,0.0,0.14,0.18
182,0.0,0.22,0.25
206,0.0,0.06,0.1
226,0.0,0.14,0.17
78,1.0,0.52,0.56
23,1.0,0.41,0.48
129,1.0,0.4,0.42
38,0.0,0.86,0.86
17,0.0,0.3,0.26
13,1.0,0.84,0.85
144,1.0,0.39,0.35
108,0.0,0.45,0.5
112,0.0,0.49,0.5
120,0.0,0.4,0.38
212,0.0,0.2,0.18
225,0.0,0.19,0.18
194,0.0,0.37,0.34
229,0.0,0.32,0.28
86,1.0,0.33,0.3
4,1.0,0.49,0.53
204,0.0,0.36,0.33
6,1.0,0.87,0.88
170,1.0,0.47,0.49
12,1.0,0.94,0.93
211,0.0,0.19,0.18
118,1.0,0.54,0.56
103,1.0,0.63,0.64
15,0.0,0.59,0.64
180,1.0,0.32,0.27
213,0.0,0.38,0.36
200,0.0,0.06,0.07
47,0.0,0.39,0.36
215,0.0,0.25,0.22
58,1.0,0.6,0.63
18,1.0,0.82,0.84
181,0.0,0.3,0.26
216,0.0,0.35,0.3
51,0.0,0.42,0.4
113,1.0,0.37,0.35
40,1.0,0.42,0.41
119,1.0,0.47,0.47
126,0.0,0.38,0.35
243,0.0,0.35,0.3
209,0.0,0.29,0.26
185,1.0,0.59,0.63
43,1.0,0.71,0.75
235,0.0,0.46,0.47
226,0.0,0.29,0.27
121,1.0,0.79,0.78
128,0.0,0.45,0.45
0,1.0,0.78,0.78
76,0.0,0.49,0.51
222,0.0,0.32,0.31
75,0.0,0.38,0.41
165,0.0,0.34,0.34
210,0.0,0.31,0.29
44,1.0,0.25,0.26
34,1.0,0.91,0.88
43,1.0,0.66,0.7
50,0.0,0.51,0.51
113,1.0,0.4,0.42
198,0.0,0.4,0.39
55,1.0,0.6,0.6
116,0.0,0.28,0.27
231,0.0,0.17,0.18
199,0.0,0.16,0.17
57,1.0,0.4,0.4
90,1.0,0.59,0.62
118,1.0,0.52,0.53
24,0.0,0.48,0.5
25,1.0,0.51,0.52
228,0.0,0.23,0.25
